	BreastCarcinoma(WTSI,UK)	Melanoma	Leukemia/T-ALL	BladderUrothelialCarcinoma(TCGA,US)	GastricCancer(CCGC,CN)	Colorectal adenocarcinoma	LiverCancer(NCC,JP)	Small cell lung cancer	Breast Cancer	RectumAdenocarcinoma(TCGA,US)	Medulloblastoma	Hypodiploid_ALL	Prostate	ColonAdenocarcinoma(TCGA,US)	LiverCancer(RIKEN,JP)	Lung	UterineCorpusEndometrioidCarcinoma(TCGA,US)	ProstateCancer(OICR,CA)
hsa-let-7a-2-3p	0.0346325302678	0.0746965518831	0.000833215789309	0.0234050298186	-1.77860741153	0.521150231163	0.382840538725	0.0320679265104	0.0485589976282	-0.0126814355081	-0.00330557581435	0.805311885504	0.043048031247	0.0310399790969	1.19125639526	0.0542824948501	0.39276293854	-0.164766390586
hsa-let-7a-3p	0.0346325302678	0.0746965518831	0.000833215789309	0.0234050298186	-2.17524360814	-0.14883501786	1.13097704891	0.0320679265104	0.0485589976282	-0.0126814355081	-1.47796986873	-1.32880057999	0.043048031247	0.0310399790969	-1.43706599666	-1.11519246092	-0.234655447907	0.0234205194373
hsa-let-7a-5p	0.0346325302678	0.106887105696	0.000833215789309	0.0234050298186	-0.040159400873	2.44425603855	1.29190979945	0.0320679265104	0.0485589976282	1.38046838479	-1.14645619048	0.0589556134203	0.043048031247	1.31535218493	-0.242828255849	0.0452167975185	0.146025370836	-0.148402311454
hsa-let-7b-3p	0.0346325302678	0.0746965518831	0.000833215789309	0.0234050298186	-2.33558590038	-0.14883501786	1.2662717605	0.0320679265104	0.0485589976282	-0.0126814355081	-1.47796986873	-1.32880057999	0.043048031247	0.0310399790969	-1.43206918603	-0.924812816961	-0.234655447907	0.0234205194373
hsa-let-7b-5p	0.0346325302678	0.106887105696	0.000833215789309	0.0234050298186	-0.040159400873	2.44425603855	1.27522962953	0.0320679265104	0.0485589976282	1.38046838479	-1.03214112901	0.0589556134203	0.043048031247	1.39089996174	-0.235333039902	0.0452167975185	0.146025370836	-0.148402311454
hsa-let-7c	0.0346325302678	0.106887105696	0.000833215789309	0.0234050298186	-0.040159400873	2.44425603855	1.33083019593	0.0320679265104	0.0485589976282	1.38046838479	-1.14645619048	0.0589556134203	0.043048031247	1.53512753566	-0.242828255849	0.0452167975185	0.146025370836	-0.155902514389
hsa-let-7d-3p	0.0346325302678	1.81298645778	0.000833215789309	0.0234050298186	-0.040159400873	-0.0247636754484	0.599682747706	0.0320679265104	0.0485589976282	-0.0126814355081	-0.00330557581435	0.0589556134203	0.043048031247	-2.27831819851	-0.395230980095	0.0452167975185	0.146025370836	0.264790686641
hsa-let-7d-5p	0.0346325302678	0.0103154442572	0.000833215789309	0.0234050298186	-0.040159400873	2.44425603855	1.75524785283	0.0320679265104	0.0485589976282	1.38046838479	-0.929257573693	0.0589556134203	0.043048031247	1.31535218493	-1.05231157807	0.0452167975185	0.279968621876	-0.155220677759
hsa-let-7e-3p	-2.76391430372	1.79152608858	0.000833215789309	0.0234050298186	-0.040159400873	-0.0247636754484	-0.301046428059	0.0320679265104	0.0485589976282	-0.0126814355081	-0.00330557581435	0.0589556134203	0.043048031247	-6.58625847182	-0.425211843881	0.0452167975185	0.146025370836	0.117513974449
hsa-let-7e-5p	0.0346325302678	0.106887105696	0.000833215789309	0.0234050298186	-0.040159400873	2.44425603855	1.29190979945	0.0320679265104	0.0485589976282	1.38046838479	-1.14645619048	0.0589556134203	0.043048031247	1.31535218493	-0.242828255849	0.0452167975185	0.146025370836	-0.155902514389
hsa-let-7f-1-3p	0.0346325302678	0.0746965518831	0.000833215789309	0.0234050298186	-2.52124539667	-0.217074256187	1.42195334643	0.0320679265104	0.0485589976282	-0.0126814355081	-1.26077125195	-1.36378603024	0.043048031247	0.0310399790969	-1.45455483387	-1.01546979028	-0.301627073426	0.0234205194373
hsa-let-7f-2-3p	0.0346325302678	0.0746965518831	-1.05437436532	0.0234050298186	1.95146065017	-0.738173894316	-0.0681418332286	0.0320679265104	0.0485589976282	-0.0126814355081	0.122440991799	-1.23550604598	0.043048031247	0.0310399790969	-2.5213739036	0.616355729408	-0.213506513532	0.0397845985697
hsa-let-7f-5p	0.0346325302678	0.0103154442572	0.000833215789309	0.0234050298186	-0.040159400873	2.44425603855	1.30302991273	0.0320679265104	0.0485589976282	1.74306902295	-1.14645619048	0.0589556134203	0.043048031247	1.31535218493	-0.242828255849	0.0452167975185	0.146025370836	-0.148402311454
hsa-let-7g-3p	0.0346325302678	0.0746965518831	0.000833215789309	0.0234050298186	-2.06553572397	0.539760932525	0.293879632477	0.0320679265104	0.0485589976282	-0.0126814355081	-0.00330557581435	0.851959152509	0.043048031247	0.0310399790969	1.133793073	0.0542824948501	0.403337405727	-0.162039044064
hsa-let-7g-5p	0.0346325302678	0.0103154442572	0.000833215789309	0.0234050298186	-0.040159400873	2.44425603855	1.2844963906	0.0320679265104	0.0485589976282	1.38046838479	-1.14645619048	0.0589556134203	0.043048031247	1.31535218493	-0.235333039902	0.0452167975185	0.146025370836	-0.155220677759
hsa-let-7i-3p	0.0346325302678	0.0746965518831	0.000833215789309	5.1044727896	-0.040159400873	-0.0247636754484	-0.897825840809	0.0320679265104	0.0485589976282	-0.0126814355081	-0.00330557581435	-2.94979310842	0.043048031247	-1.54172737457	-1.71438898669	0.0452167975185	0.103727502087	0.0234205194373
