	miRNA	Genesymbol
3029	hsa-miR-4687-3p	ATRX
3031	hsa-miR-515-5p	ETNK1
3032	hsa-miR-519e-5p	ETNK1
3033	hsa-miR-513a-3p	MDM2
3034	hsa-miR-513c-3p	MDM2
3036	hsa-miR-4435	CREB3L2
3037	hsa-miR-4432	ERC1
3039	hsa-miR-548at-5p	HMGA2
3040	hsa-miR-369-3p	PLAG1
3041	hsa-miR-374b-5p	PLAG1
3042	hsa-miR-5692b	PLAG1
3043	hsa-miR-5692c	PLAG1
3052	hsa-miR-183-5p	PLAG1
3056	hsa-miR-3936	CCND2
3058	hsa-miR-4474-3p	CRTC1
3070	hsa-miR-5680	AFF4
3075	hsa-miR-1266	NFIB
3078	hsa-miR-101-3p	PLCG1
3081	hsa-miR-4511	RUNX1
3087	hsa-miR-4284	GAS7
3088	hsa-miR-4437	GAS7
3089	hsa-miR-4721	GAS7
3090	hsa-miR-5088	GAS7
3103	hsa-miR-30e-3p	LPP
3104	hsa-miR-3942-3p	LPP
3105	hsa-miR-759	LPP
3106	hsa-miR-30a-3p	LPP
3107	hsa-miR-30d-3p	LPP
3116	hsa-miR-3682-5p	ELK4
3117	hsa-miR-4653-5p	ELK4
3121	hsa-miR-1324	SS18L1
3126	hsa-miR-4272	SS18L1
3130	hsa-miR-4422	PAX7
3132	hsa-miR-4665-5p	MLF1
3138	hsa-miR-335-3p	TAL1
3139	hsa-miR-4432	MDM2
3141	hsa-miR-5587-3p	BTG1
3145	hsa-miR-548aj-5p	TOP1
3146	hsa-miR-548g-5p	TOP1
3147	hsa-miR-548x-5p	TOP1
3149	hsa-miR-149-3p	MYOD1
3150	hsa-miR-4728-5p	MYOD1
3151	hsa-miR-5698	MYOD1
3153	hsa-miR-3616-3p	AKT2
3158	hsa-miR-3171	TBL1XR1
3159	hsa-miR-4495	TBL1XR1
3160	hsa-miR-2117	PTPN11
3161	hsa-miR-4445-5p	PTPN11
3162	hsa-miR-5186	PTPN11
3176	hsa-miR-3609	AFF4
3178	hsa-miR-494	IKBKB
3181	hsa-miR-3144-3p	SRSF3
3182	hsa-miR-3682-5p	PAFAH1B2
3183	hsa-miR-4777-5p	H3F3B
3184	hsa-miR-4712-5p	FGFR2
3203	hsa-miR-4502	HLF
3204	hsa-miR-592	HLF
3206	hsa-miR-889	ABI1
3230	hsa-miR-1275	CREB1
3232	hsa-miR-3151	CREB1
3234	hsa-miR-4296	CREB1
3235	hsa-miR-4322	CREB1
3236	hsa-miR-4447	CREB1
3237	hsa-miR-4472	CREB1
3238	hsa-miR-4665-5p	CREB1
3240	hsa-miR-491-5p	CREB1
3261	hsa-miR-300	IL6ST
3262	hsa-miR-4666a-3p	IL6ST
3265	hsa-miR-381	IL6ST
3266	hsa-miR-1914-3p	BRD3
3267	hsa-miR-3135b	BRD3
3268	hsa-miR-3184-5p	BRD3
3269	hsa-miR-3652	BRD3
3270	hsa-miR-423-5p	BRD3
3271	hsa-miR-4430	BRD3
3273	hsa-miR-4688	BRD3
3286	hsa-miR-5584-5p	NTRK3
3289	hsa-miR-3185	PDGFRA
3295	hsa-miR-3919	ETNK1
3296	hsa-miR-198	PCSK7
3301	hsa-miR-29a-3p	MYO5A
3302	hsa-miR-29c-3p	MYO5A
3310	hsa-miR-369-3p	MTCP1
3311	hsa-let-7f-2-3p	PAFAH1B2
3312	hsa-miR-1185-1-3p	PAFAH1B2
3313	hsa-miR-1185-2-3p	PAFAH1B2
3314	hsa-miR-4528	PAFAH1B2
3331	hsa-miR-3153	BCL11B
3332	hsa-miR-5093	BCL11B
3336	hsa-miR-2054	PRRX1
3338	hsa-miR-186-3p	ELL
3340	hsa-miR-19a-3p	AFF1
3352	hsa-miR-506-3p	AKT2
3357	hsa-miR-3135b	HNF1A
3358	hsa-miR-2355-5p	RARA
3374	hsa-miR-4260	MYD88
3379	hsa-miR-4635	WHSC1
3380	hsa-miR-526b-5p	WHSC1
3381	hsa-miR-578	WHSC1
3384	hsa-miR-3155a	HNF1A
3386	hsa-miR-484	HNF1A
3387	hsa-miR-4514	CRTC1
3388	hsa-miR-4650-5p	CRTC1
3389	hsa-miR-4692	CRTC1
3394	hsa-miR-3688-5p	WWTR1
3402	hsa-miR-29a-3p	ELN
3403	hsa-miR-29b-3p	ELN
3404	hsa-miR-29c-3p	ELN
3418	hsa-miR-4532	CUX1
3419	hsa-miR-5008-5p	CUX1
3420	hsa-miR-5587-3p	CUX1
3442	hsa-miR-4798-3p	HEY1
3453	hsa-miR-3151	BCL11B
3456	hsa-miR-486-3p	BCL11B
3462	hsa-miR-204-5p	HNF1A
3463	hsa-miR-211-5p	HNF1A
3465	hsa-miR-526b-5p	IL6ST
3466	hsa-miR-3924	POT1
3469	hsa-miR-4295	FGFR1
3470	hsa-miR-652-3p	FGFR1
3487	hsa-miR-513a-5p	FANCC
3489	hsa-miR-3122	PAFAH1B2
3490	hsa-miR-548ab	MDM2
3491	hsa-miR-548av-5p	MDM2
3492	hsa-miR-548n	MDM2
3493	hsa-miR-1275	MDM2
3494	hsa-miR-450a-3p	MDM2
3495	hsa-miR-3120-3p	MDM2
3496	hsa-miR-4524a-5p	GAS7
3500	hsa-miR-654-3p	SPECC1
3503	hsa-miR-3202	SS18
3506	hsa-miR-4323	ABL2
3507	hsa-miR-4690-3p	ABL2
3520	hsa-miR-1231	MAP3K13
3525	hsa-miR-4279	KRAS
3527	hsa-miR-511	MDM2
3528	hsa-miR-3620	JAK3
3529	hsa-miR-4664-5p	MDM4
3532	hsa-miR-1297	NRAS
3533	hsa-miR-4465	NRAS
3534	hsa-miR-4330	PDGFB
3536	hsa-miR-29b-1-5p	KAT6A
3537	hsa-miR-326	KAT6A
3538	hsa-miR-330-5p	KAT6A
3539	hsa-miR-4768-5p	KAT6A
3551	hsa-miR-4650-3p	MDM4
3561	hsa-miR-4739	KIT
3563	hsa-miR-548ah-5p	MAP3K13
3564	hsa-miR-5590-3p	MAP3K13
3569	hsa-miR-4426	RSPO2
3587	hsa-miR-4504	BCL11B
3589	hsa-miR-200b-3p	IRF4
3591	hsa-miR-548ac	PBX1
3596	hsa-miR-4774-3p	RABEP1
3599	hsa-miR-374a-5p	PLAG1
3602	hsa-miR-4518	NFIB
3606	hsa-miR-942	ELK4
3607	hsa-miR-32-5p	TOP1
3609	hsa-miR-4297	SDC4
3610	hsa-miR-875-5p	SRSF3
3611	hsa-miR-32-3p	HNRNPA2B1
3613	hsa-miR-1245b-3p	ELK4
3614	hsa-miR-4265	CREB1
3616	hsa-let-7a-3p	IL6ST
3623	hsa-miR-2355-5p	TBX3
3625	hsa-miR-548c-3p	BCL11A
3626	hsa-miR-1909-3p	TERT
3628	hsa-miR-1237	PBX1
3629	hsa-miR-135b-3p	PBX1
3630	hsa-miR-548aw	AFF1
3631	hsa-miR-19b-3p	AFF1
3633	hsa-miR-3158-5p	AFF4
3634	hsa-miR-1909-3p	HMGA1
3636	hsa-miR-4466	HMGA1
3645	hsa-miR-3714	AKT2
3648	hsa-miR-3155b	HNF1A
3649	hsa-miR-4432	KDM5C
3656	hsa-miR-18a-5p	PCM1
3657	hsa-miR-3666	FGFR1
3666	hsa-miR-548h-3p	PTPRB
3667	hsa-miR-548z	PTPRB
3674	hsa-miR-193a-3p	KDSR
3675	hsa-miR-4712-5p	MDM4
3678	hsa-miR-1178	LPP
3681	hsa-miR-4421	HIP1
3683	hsa-miR-222-5p	KDSR
3684	hsa-miR-4767	LPP
3687	hsa-miR-26a-5p	NRAS
3688	hsa-miR-3529-5p	MDM4
3720	hsa-miR-4719	SPOP
3726	hsa-miR-5692a	ACSL6
3732	hsa-miR-3646	SETBP1
3733	hsa-miR-4256	ELK4
3734	hsa-miR-3065-5p	SS18L1
3735	hsa-miR-4707-5p	BTG1
3736	hsa-miR-873-5p	BMPR1A
3737	hsa-miR-1207-3p	ACSL6
3743	hsa-miR-519c-3p	AFF4
3744	hsa-let-7f-1-3p	IL6ST
3747	hsa-miR-1284	IL6ST
3748	hsa-miR-548ah-5p	NTRK3
3749	hsa-miR-218-2-3p	PTPRB
3753	hsa-miR-561-3p	NBN
3754	hsa-miR-4668-5p	BCL11B
3755	hsa-miR-4685-5p	POLE
3756	hsa-miR-196a-3p	WWTR1
3759	hsa-miR-331-3p	THRAP3
3761	hsa-miR-151a-3p	CUX1
3763	hsa-miR-4779	STIL
3765	hsa-miR-1321	ACSL6
3771	hsa-miR-454-3p	FGFR1
3782	hsa-miR-4260	MDM2
3783	hsa-miR-4438	HIP1
3785	hsa-miR-93-3p	RNF213
3786	hsa-miR-514b-5p	NRAS
3787	hsa-miR-500b	KLK2
3790	hsa-miR-149-3p	KIT
3792	hsa-miR-635	IRF4
3794	hsa-miR-4662b	RSPO2
3795	hsa-miR-20b-5p	ABI1
3807	hsa-miR-758	BCL11B
3809	hsa-miR-488-5p	TBL1XR1
3810	hsa-miR-1275	MLF1
3816	hsa-miR-4735-5p	HNRNPA2B1
3818	hsa-miR-575	FGFR2
3824	hsa-let-7b-3p	IL6ST
3829	hsa-miR-4279	PIK3R1
3833	hsa-miR-151a-3p	ELK4
3834	hsa-miR-4290	SLC45A3
3835	hsa-miR-29b-3p	MYO5A
3837	hsa-miR-760	HNF1A
3840	hsa-miR-4638-3p	IL6ST
3841	hsa-miR-548b-5p	MDM2
3842	hsa-miR-4451	MDM4
3845	hsa-miR-502-5p	KLK2
3851	hsa-miR-2964a-3p	LIFR
3853	hsa-miR-181b-3p	ATRX
3855	hsa-miR-4436a	SPEN
3856	hsa-miR-216b	ETNK1
3857	hsa-miR-4517	LCP1
3858	hsa-miR-548n	PIK3R1
3862	hsa-miR-4273	PTPN11
3863	hsa-miR-20b-5p	AFF4
3864	hsa-miR-3677-3p	SPECC1
3867	hsa-miR-3166	MYD88
3869	hsa-miR-556-3p	MECOM
3876	hsa-miR-4735-5p	PTPRB
3881	hsa-miR-3133	RUNX1
3882	hsa-miR-4772-3p	TFRC
3884	hsa-miR-3126-5p	MYO5A
3887	hsa-miR-548ac	PTPRB
3891	hsa-miR-4524b-5p	GAS7
3895	hsa-miR-1251	SPECC1
3898	hsa-miR-3122	MLLT6
3899	hsa-miR-4288	MAP3K13
3903	hsa-miR-518a-5p	TOP1
3904	hsa-miR-527	TOP1
3905	hsa-miR-526b-3p	AFF4
3906	hsa-miR-2276	TFRC
3909	hsa-miR-4526	CANT1
3912	hsa-miR-1226-5p	MYO5A
3914	hsa-miR-99b-3p	CUX1
3916	hsa-miR-4452	EGFR
3917	hsa-miR-4711-5p	GAS7
3921	hsa-miR-146a-3p	FAM46C
3922	hsa-miR-154-3p	BTG1
3923	hsa-miR-4708-5p	ERBB3
3924	hsa-miR-4670-3p	TOP1
3925	hsa-miR-5681b	EPS15
3927	hsa-miR-92a-1-5p	MYD88
3928	hsa-miR-548ah-3p	PTPRB
3929	hsa-miR-548am-3p	PTPRB
3936	hsa-miR-5699	HIP1
3938	hsa-miR-4723-5p	MYOD1
3939	hsa-miR-374b-5p	MTCP1
3940	hsa-miR-1184	WHSC1
3941	hsa-miR-2116-5p	NRG1
3946	hsa-miR-4720-3p	CCND2
3947	hsa-miR-106a-5p	AFF4
3948	hsa-miR-17-5p	AFF4
3950	hsa-miR-4677-3p	RAF1
3951	hsa-miR-1206	WHSC1
3955	hsa-miR-4422	SPEN
3956	hsa-miR-4292	THRAP3
3957	hsa-miR-99a-3p	CUX1
3959	hsa-miR-4282	ELK4
3960	hsa-miR-374b-3p	GAS7
3966	hsa-miR-192-3p	LSM14A
3968	hsa-miR-584-5p	PTPRB
3972	hsa-miR-632	MAP3K13
3978	hsa-miR-106a-5p	MAP3K13
3979	hsa-miR-17-5p	MAP3K13
3990	hsa-miR-450a-3p	MLF1
3996	hsa-miR-3609	NTRK3
3997	hsa-miR-4533	SS18
3999	hsa-miR-4793-5p	KLK2
4003	hsa-miR-4478	RUNX1
4005	hsa-miR-518d-5p	H3F3B
4006	hsa-miR-518e-5p	H3F3B
4007	hsa-miR-518f-5p	H3F3B
4008	hsa-miR-519a-5p	H3F3B
4009	hsa-miR-519b-5p	H3F3B
4010	hsa-miR-519c-5p	H3F3B
4011	hsa-miR-520c-5p	H3F3B
4012	hsa-miR-522-5p	H3F3B
4013	hsa-miR-523-5p	H3F3B
4014	hsa-miR-526a	H3F3B
4015	hsa-miR-4269	FANCA
4016	hsa-miR-3925-3p	FANCF
4017	hsa-miR-3670	PDGFB
4019	hsa-miR-3910	AKT2
4022	hsa-miR-1324	MYD88
4024	hsa-miR-548t-5p	BTG1
4025	hsa-miR-3609	MAP3K13
4031	hsa-miR-4419b	RUNX1
4033	hsa-miR-216a	MDM4
4036	hsa-miR-1273f	ERBB3
4037	hsa-miR-3929	RUNX1
4039	hsa-miR-5572	MDM2
4041	hsa-miR-3191-5p	KAT6A
4044	hsa-miR-93-5p	ABI1
4055	hsa-miR-1291	RAF1
4056	hsa-miR-374a-5p	MTCP1
4057	hsa-miR-4268	CUX1
4059	hsa-miR-188-3p	WHSC1
4060	hsa-miR-3658	KAT6B
4065	hsa-miR-1976	5-Sep
4066	hsa-miR-30e-3p	KDSR
4067	hsa-miR-663b	CRTC1
4069	hsa-miR-519b-3p	AFF4
4070	hsa-let-7a-2-3p	GPHN
4072	hsa-miR-3663-3p	ELN
4079	hsa-miR-106a-3p	FGFR1
4088	hsa-miR-4799-5p	RNF213
4089	hsa-miR-513a-5p	BTG1
4090	hsa-miR-3182	PBX1
4091	hsa-miR-4735-3p	WWTR1
4094	hsa-miR-200c-3p	IRF4
4096	hsa-miR-4724-5p	SH2B3
4097	hsa-miR-5685	ABL2
4104	hsa-miR-3613-3p	MET
4106	hsa-miR-3153	NTRK3
4107	hsa-miR-2116-3p	GNAS
4109	hsa-miR-371a-5p	MLLT4
4110	hsa-miR-4708-5p	FGFR1
4119	hsa-miR-20a-5p	AFF4
4120	hsa-miR-323a-3p	MLF1
4126	hsa-miR-4778-5p	MYC
4127	hsa-miR-3660	CANT1
4131	hsa-miR-889	MTCP1
4133	hsa-miR-338-5p	SPECC1
4136	hsa-miR-362-5p	KLK2
4139	hsa-miR-146b-3p	RAF1
4140	hsa-miR-5693	STIL
4142	hsa-miR-1273f	FGFR1
4151	hsa-miR-1293	5-Sep
4153	hsa-miR-548h-3p	PBX1
4154	hsa-miR-548z	PBX1
4160	hsa-miR-668	HIP1
4162	hsa-miR-3188	RUNX1
4165	hsa-miR-301a-5p	ELK4
4166	hsa-miR-4676-5p	FGFR2
4172	hsa-miR-3661	BCL9
4173	hsa-miR-4426	XPA
4175	hsa-miR-223-5p	MYO5A
4177	hsa-miR-20b-3p	PBX1
4178	hsa-miR-885-3p	FANCA
4179	hsa-miR-3162-5p	ACSL6
4185	hsa-miR-18b-5p	PCM1
4190	hsa-miR-27a-3p	BTG1
