	miRNA	Genesymbol
2389	hsa-miR-2114-3p	PML
2449	hsa-miR-5589-3p	RAF1
2497	hsa-miR-147a	BCL2
2530	hsa-miR-3613-3p	CRKL
2541	hsa-miR-106a-3p	MCF2
2587	hsa-miR-489	BCL11A
2594	hsa-miR-4516	KAT5
2615	hsa-miR-503	TPM3
2631	hsa-miR-197-3p	ERBB3
2639	hsa-miR-3976	YAP1
2732	hsa-miR-5186	YAP1
2846	hsa-miR-4420	PML
2903	hsa-miR-5011-5p	ETV6
3055	hsa-miR-4646-5p	ERG
3061	hsa-miR-204-3p	ERG
3067	hsa-miR-1302	ERG
3073	hsa-miR-4314	ERG
3079	hsa-miR-330-5p	ERG
3085	hsa-miR-4298	ERG
3092	hsa-miR-326	ERG
3109	hsa-miR-4418	KAT6A
3112	hsa-miR-4698	KAT6A
3115	hsa-miR-548aw	KAT6A
3126	hsa-miR-130b-5p	PRKCA
3127	hsa-miR-3124-3p	PRKCA
3134	hsa-miR-96-3p	PAK7
3136	hsa-miR-4795-3p	PAK7
3138	hsa-miR-2681-3p	PAK7
3140	hsa-miR-126-5p	PAK7
3142	hsa-miR-4695-5p	FGFR1
3148	hsa-miR-4703-5p	FGFR1
3160	hsa-miR-599	RET
3162	hsa-miR-3908	FGFR1
3164	hsa-miR-186-3p	FGFR1
3173	hsa-miR-875-5p	FGFR1
3182	hsa-miR-23c	EGFR
3183	hsa-miR-181b-5p	PIM1
3185	hsa-miR-4266	FGFR1
3195	hsa-miR-425-5p	FGFR2
3196	hsa-miR-3117-5p	FGFR2
3203	hsa-miR-129-5p	KIT
3205	hsa-miR-5572	VHL
3207	hsa-miR-181d	PIM1
3209	hsa-miR-563	FGFR1
3210	hsa-miR-766-5p	FGFR1
3220	hsa-miR-5007-3p	LCK
3222	hsa-miR-567	FGFR3
3225	hsa-miR-181a-5p	PIM1
3227	hsa-miR-23a-3p	EGFR
3228	hsa-miR-23b-3p	EGFR
3229	hsa-miR-5010-3p	RET
3230	hsa-miR-223-5p	RET
3231	hsa-miR-1295b-5p	FGFR1
3240	hsa-miR-4716-5p	FGFR3
3243	hsa-miR-633	RET
3244	hsa-miR-299-3p	LCK
3260	hsa-miR-592	HRAS
3261	hsa-miR-624-5p	EGFR
3262	hsa-miR-507	FGFR2
3263	hsa-miR-557	FGFR2
3267	hsa-miR-548u	FGFR1
3276	hsa-miR-202-3p	FGFR1
3287	hsa-miR-3942-5p	FGFR1
3302	hsa-miR-375	KIT
3304	hsa-miR-4713-3p	VHL
3306	hsa-miR-1911-3p	VHL
3307	hsa-miR-3688-3p	RET
3314	hsa-miR-4766-3p	FGFR1
3325	hsa-miR-128	NRAS
3326	hsa-miR-5093	RET
3327	hsa-miR-3124-3p	RUNX1
3329	hsa-miR-1256	VHL
3331	hsa-miR-1305	PIK3R1
3335	hsa-miR-4482-5p	FGFR1
3347	hsa-miR-3681-3p	NRAS
3348	hsa-miR-4672	NRAS
3350	hsa-miR-4526	RET
3351	hsa-miR-5696	FGFR2
3352	hsa-miR-664-3p	FGFR2
3364	hsa-miR-501-5p	VHL
3383	hsa-miR-582-3p	PIK3R1
3387	hsa-miR-4262	PIM1
3389	hsa-miR-130a-5p	EGFR
3458	hsa-miR-4684-5p	FGFR1
3598	hsa-miR-297	FGFR3
3601	hsa-miR-181c-5p	PIM1
3613	hsa-miR-205-3p	EGFR
3670	hsa-miR-596	GNAS
3675	hsa-miR-4283	ELF4
3677	hsa-miR-4489	ELF4
3692	hsa-miR-711	WHSC1
3711	hsa-miR-1271-3p	MXI1
3712	hsa-miR-1909-5p	MXI1
3713	hsa-miR-33b-3p	MXI1
3714	hsa-miR-4693-3p	MXI1
3716	hsa-miR-515-3p	MXI1
3717	hsa-miR-519e-3p	MXI1
3718	hsa-miR-550a-3-5p	MXI1
3719	hsa-miR-550a-5p	MXI1
3741	hsa-miR-570-3p	AFF4
3742	hsa-miR-1225-3p	AFF4
3744	hsa-miR-3943	AFF4
3749	hsa-miR-4775	KRAS
