	miRNA	Genesymbol
565	hsa-miR-3122	STIL
567	hsa-miR-302b-3p	PCM1
568	hsa-miR-4659a-3p	BCAS4
571	hsa-miR-3660	GNAS
573	hsa-miR-4677-5p	CRKL
574	hsa-miR-373-3p	PCM1
575	hsa-miR-766-3p	SPECC1
578	hsa-miR-4265	SPECC1
581	hsa-miR-4476	SMAP2
585	hsa-miR-15b-5p	WHSC1
590	hsa-miR-93-5p	PCM1
591	hsa-miR-515-3p	HOPX
593	hsa-miR-548l	NR4A3
594	hsa-miR-20b-5p	PCM1
595	hsa-miR-4494	PBX1
596	hsa-miR-30b-3p	STIL
598	hsa-miR-4778-3p	BCAS4
601	hsa-miR-106a-5p	AKT2
602	hsa-miR-17-5p	AKT2
607	hsa-miR-181d	PSMD10
608	hsa-miR-520d-3p	PCM1
609	hsa-miR-93-5p	GAS7
613	hsa-miR-520h	SYK
617	hsa-miR-888-3p	GNAS
623	hsa-miR-20b-5p	AKT2
626	hsa-miR-520g	SYK
630	hsa-miR-324-3p	PBX1
631	hsa-miR-625-5p	CCND2
632	hsa-miR-520h	PCM1
633	hsa-miR-1247-5p	ELL
634	hsa-miR-106a-5p	PCM1
635	hsa-miR-17-5p	PCM1
636	hsa-miR-520b	PCM1
637	hsa-miR-570-3p	FURIN
638	hsa-miR-5095	KDSR
639	hsa-miR-3591-3p	AURKA
645	hsa-miR-551b-5p	NET1
647	hsa-miR-4316	PML
649	hsa-let-7d-5p	GAS7
653	hsa-miR-3689b-3p	STIL
654	hsa-miR-3689c	STIL
657	hsa-miR-621	TPM3
658	hsa-miR-573	PDGFRB
659	hsa-miR-20a-5p	PCM1
660	hsa-miR-553	AKT2
663	hsa-miR-3681-3p	GNAS
664	hsa-miR-3689a-3p	STIL
667	hsa-miR-4771	PBX1
668	hsa-miR-4684-3p	TOP1
672	hsa-miR-1273g-3p	PBX1
673	hsa-miR-5193	PIK3R1
678	hsa-miR-15a-5p	WHSC1
679	hsa-miR-302c-3p	PCM1
680	hsa-miR-526b-3p	AKT2
683	hsa-miR-4289	SPECC1
686	hsa-miR-106b-5p	PCM1
687	hsa-miR-3122	SS18
689	hsa-miR-5100	CRKL
690	hsa-miR-5693	REL
691	hsa-miR-372	PCM1
692	hsa-miR-3689f	TCTA
693	hsa-miR-4519	FOXO4
695	hsa-miR-579	CDKN1B
696	hsa-miR-424-5p	TPM3
697	hsa-miR-652-5p	BCL11A
