	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-miR-520g			AFF4	1
hsa-miR-520h			AFF4	1
hsa-miR-532-3p	GNAS			1
hsa-miR-539-3p		FAS		1
hsa-miR-541-5p	NTRK2			1
hsa-miR-545-5p	BCLAF1			1
hsa-miR-548aa	AKT1			1
hsa-miR-548ac	AKT1			1
hsa-miR-548ah-5p	NTRK3			1
hsa-miR-548aj-5p	LRP6			1
hsa-miR-548ao-3p	TCF4			1
hsa-miR-548ao-5p	GNAS			1
hsa-miR-548ap-3p	AKT1			1
hsa-miR-548ax	GNAS			1
hsa-miR-548d-3p	AKT1			1
hsa-miR-548g-5p	LRP6			1
hsa-miR-548h-3p	AKT1			1
hsa-miR-548m		MSR1		1
hsa-miR-548t-3p	AKT1			1
hsa-miR-548x-5p	LRP6			1
hsa-miR-548z	AKT1			1
hsa-miR-550a-3-5p		HLA-A		1
hsa-miR-550a-5p		HLA-A		1
hsa-miR-550b-2-5p		HLA-A		1
hsa-miR-555			WNK1	1
hsa-miR-556-3p	MECOM			1
hsa-miR-5580-3p	HDAC9			1
hsa-miR-5581-3p		EEF1A1		1
hsa-miR-5582-3p		NCOR1		1
hsa-miR-5583-5p		TJP1		1
hsa-miR-5584-3p	CLCC1			1
hsa-miR-5584-5p	NTRK3			1
hsa-miR-5585-5p	GNAS			1
hsa-miR-5587-3p			CUX1	1
hsa-miR-5587-5p	ACACA			1
hsa-miR-5588-3p		APAF1		1
hsa-miR-5590-3p		NF2		1
hsa-miR-561-3p	LPHN2			1
hsa-miR-5681b		FBXW7		1
hsa-miR-5685	ABL2			1
hsa-miR-5691		STK11		1
hsa-miR-5692a			CDC73	1
hsa-miR-5692b			PCSK5	1
hsa-miR-5692c			PCSK5	1
hsa-miR-5697	NRAS			1
hsa-miR-5698			SMURF2	1
hsa-miR-5699		SMAD2		1
hsa-miR-570-3p	CLCC1			1
hsa-miR-573	KIT			1
hsa-miR-574-5p		ATRX		1
hsa-miR-577		NF2		1
hsa-miR-578			WHSC1	1
hsa-miR-579		CDKN1B		1
hsa-miR-582-3p		PIK3R1		1
hsa-miR-587	FGFR3			1
hsa-miR-589-5p	BAZ2B			1
hsa-miR-590-5p	BRWD1			1
hsa-miR-592	HLF			1
hsa-miR-598			EFTUD2	1
hsa-miR-600	ADCY1			1
hsa-miR-603	KRAS			1
hsa-miR-608	NR2F2			1
hsa-miR-616-3p	WNT5A			1
hsa-miR-616-5p	SCAI			1
hsa-miR-625-3p		CCAR1		1
hsa-miR-627		PSIP1		1
hsa-miR-629-3p	NDRG1			1
hsa-miR-634		ZNF292		1
hsa-miR-642a-3p	CLCC1			1
hsa-miR-642b-3p	CLCC1			1
hsa-miR-644a	DLG1			1
hsa-miR-644b-3p		CDKN1B		1
hsa-miR-652-3p			FGFR1	1
hsa-miR-652-5p		TP53		1
hsa-miR-654-3p		EEF1A1		1
hsa-miR-658			PRKCZ	1
hsa-miR-664-3p	BRWD1			1
hsa-miR-676-3p		FN1		1
hsa-miR-7-1-3p	AHR			1
hsa-miR-7-2-3p	AHR			1
hsa-miR-7-5p		KEAP1		1
hsa-miR-744-5p	WNT5A			1
hsa-miR-760	HNF1A			1
hsa-miR-764		CDKN2A		1
hsa-miR-766-5p	FAT2			1
hsa-miR-770-5p	FGFR2			1
hsa-miR-802	CLCC1			1
hsa-miR-873-3p		ACO1		1
hsa-miR-874			CDK4	1
hsa-miR-875-3p	LPHN2			1
hsa-miR-875-5p		TET2		1
hsa-miR-877-5p	MAX			1
hsa-miR-885-3p	GNAS			1
hsa-miR-888-3p	RET			1
hsa-miR-890	STARD13			1
hsa-miR-891a		NAP1L1		1
hsa-miR-920	WNT5A			1
hsa-miR-92a-1-5p			MYD88	1
hsa-miR-92a-2-5p		EP300		1
hsa-miR-942		PTGS1		1
hsa-miR-944	NTRK2			1
hsa-miR-96-3p		PPP2R5A		1
hsa-miR-99a-3p			CUX1	1
hsa-miR-99b-3p			CUX1	1
