Genesymbol	miRNA
PAX3	hsa-miR-4316
SS18	hsa-miR-30c-1-3p
AKT1	hsa-miR-424-3p
TPM3	hsa-miR-646
GAS7	hsa-miR-20b-5p
BTG1	hsa-miR-548at-5p
ERBB3	hsa-miR-4753-5p
PICALM	hsa-miR-1305
PML	hsa-miR-4299
PATZ1	hsa-miR-600
WHSC1	hsa-miR-16-5p
CRKL	hsa-miR-3688-5p
PDGFRB	hsa-miR-4670-3p
PBX1	hsa-miR-4252
ARHGAP26	hsa-miR-4684-5p
USP4	hsa-miR-129-5p
GAS7	hsa-miR-411-5p
GAS7	hsa-miR-20a-5p
EPS15	hsa-miR-1271-5p
AKT2	hsa-miR-106b-5p
KIT	hsa-miR-4802-5p
BCL9	hsa-miR-329
BCL9	hsa-miR-362-3p
WHSC1	hsa-miR-634
SUZ12	hsa-miR-3161
WHSC1	hsa-miR-195-5p
PSMD10	hsa-miR-181b-5p
ARAF	hsa-miR-4264
MCF2	hsa-miR-4776-3p
BCL6	hsa-miR-4499
GAS7	hsa-miR-4458
LITAF	hsa-miR-4786-5p
GNAS	hsa-miR-503
MECOM	hsa-miR-25-3p
PML	hsa-miR-138-5p
AKT2	hsa-miR-4436b-3p
BCAS4	hsa-miR-942
SYK	hsa-miR-186-3p
KAT6A	hsa-miR-5011-3p
RNF213	hsa-miR-3190-5p
TCTA	hsa-miR-144-5p
HMGA2	hsa-miR-5692a
CRKL	hsa-miR-124-5p
PSMD10	hsa-miR-302c-5p
MECOM	hsa-miR-363-3p
PML	hsa-miR-4710
FGF5	hsa-miR-490-3p
BCAS4	hsa-miR-609
WHSC1	hsa-miR-497-5p
LITAF	hsa-miR-3158-5p
ERBB4	hsa-miR-205-3p
ING3	hsa-miR-200a-5p
PCM1	hsa-miR-526b-3p
FURIN	hsa-miR-1277-5p
KIT	hsa-miR-4443
AFF4	hsa-miR-5590-3p
ERBB3	hsa-miR-5096
WHSC1	hsa-miR-532-5p
TAL1	hsa-miR-5006-5p
GNAS	hsa-miR-490-3p
PAX3	hsa-miR-3167
ZNF320	hsa-miR-2355-3p
AKAP13	hsa-miR-5192
THRB	hsa-miR-124-5p
TCTA	hsa-miR-3689a-5p
TCTA	hsa-miR-3689b-5p
TCTA	hsa-miR-3689e
AKT2	hsa-miR-372
REL	hsa-miR-5089
BTG1	hsa-miR-1913
USP4	hsa-miR-4712-5p
AFF4	hsa-miR-676-5p
PML	hsa-miR-181b-3p
ARAF	hsa-miR-4283
FGF5	hsa-miR-676-5p
ERG	hsa-miR-4757-5p
WNT1	hsa-miR-3928
STIL	hsa-miR-3612
SS18	hsa-miR-30b-3p
DEK	hsa-miR-618
PCM1	hsa-miR-520e
SUZ12	hsa-miR-543
AFF4	hsa-miR-501-3p
CCND2	hsa-miR-5010-5p
ARAF	hsa-miR-4652-5p
BTG1	hsa-miR-4532
WISP1	hsa-miR-524-5p
BCL6	hsa-miR-4494
VAV2	hsa-miR-1207-3p
SPECC1	hsa-miR-4322
CRKL	hsa-miR-10b-3p
PSMD10	hsa-miR-543
SYK	hsa-miR-5585-5p
AFF4	hsa-miR-142-5p
CCND2	hsa-miR-4652-5p
GFI1	hsa-miR-298
NET1	hsa-miR-644b-3p
KRAS	hsa-miR-552
PAX3	hsa-miR-3915
USP4	hsa-miR-770-5p
RUNX1	hsa-miR-1278
RARA	hsa-miR-770-5p
TCTA	hsa-miR-302e
MDM2	hsa-miR-4684-5p
TAL1	hsa-miR-4755-3p
PDGFD	hsa-miR-376a-3p
CARS	hsa-miR-1276
JAK2	hsa-miR-129-5p
PSMD10	hsa-miR-3143
TCTA	hsa-miR-372
GAS7	hsa-miR-106a-5p
GAS7	hsa-miR-17-5p
THRB	hsa-miR-4497
FGFR2	hsa-miR-323b-3p
FOXO1	hsa-miR-607
HRAS	hsa-miR-1281
USP4	hsa-miR-4284
TCTA	hsa-miR-93-5p
PAX7	hsa-miR-2681-3p
PAX5	hsa-miR-3148
SPECC1	hsa-miR-4296
ABL2	hsa-miR-4515
WDR11	hsa-miR-4679
REL	hsa-miR-143-5p
AKT2	hsa-miR-302d-3p
SS18	hsa-miR-30c-2-3p
MAFB	hsa-miR-331-5p
MECOM	hsa-miR-92b-3p
AFF4	hsa-miR-5008-3p
BCAS3	hsa-miR-424-3p
GNAS	hsa-miR-545-3p
GNAS	hsa-miR-764
GNAS	hsa-miR-4735-3p
SUZ12	hsa-miR-3143
BTG1	hsa-miR-4705
ABL2	hsa-miR-4740-5p
ERG	hsa-miR-376a-3p
ERG	hsa-miR-376b
GNAS	hsa-miR-128
FGF5	hsa-miR-548ak
FGF5	hsa-miR-637
FGF5	hsa-miR-649
WHSC1	hsa-miR-2276
AKT2	hsa-miR-519d
ERBB3	hsa-miR-4329
PDGFD	hsa-miR-376b
GNAS	hsa-miR-148a-3p
GNAS	hsa-miR-148b-3p
GNAS	hsa-miR-152
PIK3R1	hsa-miR-1255b-2-3p
FOXO4	hsa-miR-3138
SPECC1	hsa-miR-4654
GNAS	hsa-miR-452-3p
FGF5	hsa-miR-548a-5p
AKAP13	hsa-miR-384
AKT2	hsa-miR-3714
PBX1	hsa-miR-5581-5p
HOPX	hsa-miR-4682
SMAP2	hsa-miR-4798-3p
FGF5	hsa-miR-548y
PCM1	hsa-miR-186-3p
CBL	hsa-miR-216b
SS18	hsa-miR-4728-5p
KDSR	hsa-miR-193b-3p
ABL2	hsa-miR-150-5p
CBL	hsa-miR-633
FGF5	hsa-miR-4659a-3p
ABL2	hsa-miR-1269b
WHSC1	hsa-miR-302b-5p
NET1	hsa-miR-3941
GAS7	hsa-miR-106b-5p
SPECC1	hsa-miR-508-5p
AKT2	hsa-miR-302b-3p
RUNX1T1	hsa-miR-138-5p
MECOM	hsa-miR-92a-3p
AFF4	hsa-miR-548at-5p
ERBB4	hsa-miR-29a-5p
CDKN1B	hsa-miR-4693-3p
ELL	hsa-miR-1538
TCTA	hsa-miR-20b-5p
TCTA	hsa-miR-373-3p
TCTA	hsa-miR-526b-3p
FGF5	hsa-miR-548h-5p
MLLT6	hsa-miR-106a-5p
MLLT6	hsa-miR-17-5p
MLLT6	hsa-miR-20a-5p
AKT2	hsa-miR-373-3p
AKT2	hsa-miR-520b
AFF4	hsa-miR-502-3p
WHSC1	hsa-miR-3943
AFF1	hsa-miR-802
ZNF320	hsa-miR-676-3p
FGF5	hsa-miR-567
NR4A3	hsa-miR-548n
FGF5	hsa-miR-548ab
AKT2	hsa-miR-302c-3p
MXI1	hsa-miR-1305
PAK7	hsa-miR-4799-5p
ABL2	hsa-miR-1269a
FOXO1	hsa-miR-3613-3p
WHSC1	hsa-miR-302d-5p
WNT5A	hsa-miR-4745-5p
FGF5	hsa-miR-548ap-5p
FGF5	hsa-miR-548d-5p
FGF5	hsa-miR-548l
PCM1	hsa-miR-519d
SYK	hsa-miR-150-5p
MLLT6	hsa-miR-4722-3p
RNF213	hsa-miR-548s
FGF5	hsa-miR-4781-3p
FGFR1	hsa-miR-3935
MLL	hsa-miR-93-5p
USP4	hsa-miR-29b-2-5p
FGF5	hsa-miR-4659b-3p
AFF4	hsa-miR-125a-3p
AFF4	hsa-miR-3934
WHSC1	hsa-miR-4530
BCL2	hsa-miR-5579-5p
AFF4	hsa-miR-4495
WNT5A	hsa-miR-3151
PBX3	hsa-miR-4307
LITAF	hsa-miR-1231
WISP1	hsa-miR-520d-5p
GNAS	hsa-miR-5196-3p
PICALM	hsa-miR-335-3p
TCTA	hsa-miR-204-3p
FGF5	hsa-miR-548au-5p
FGF5	hsa-miR-548w
AKT2	hsa-miR-520a-3p
SPECC1	hsa-miR-548c-3p
MLLT6	hsa-miR-1976
ARHGAP26	hsa-miR-196a-3p
GAS7	hsa-miR-3135b
MDM2	hsa-miR-1273g-3p
BTG1	hsa-miR-656
MAF	hsa-miR-1537
RUNX1	hsa-miR-548av-5p
ERBB4	hsa-miR-5009-3p
EPS15	hsa-miR-1256
WHSC1	hsa-miR-424-5p
GNAS	hsa-miR-3665
WHSC1	hsa-miR-3156-3p
PAX3	hsa-miR-497-3p
PICALM	hsa-miR-3613-3p
PICALM	hsa-miR-607
TCTA	hsa-miR-106b-5p
TCTA	hsa-miR-20a-5p
TCTA	hsa-miR-302d-3p
TCTA	hsa-miR-519d
FGF5	hsa-miR-548am-5p
FGF5	hsa-miR-548ar-5p
FGF5	hsa-miR-548av-5p
FGF5	hsa-miR-548b-5p
FGF5	hsa-miR-548c-5p
FGF5	hsa-miR-548i
FGF5	hsa-miR-548o-5p
MET	hsa-miR-4733-5p
MDM2	hsa-miR-30b-3p
MDM2	hsa-miR-3122
GAS7	hsa-miR-372
GAS7	hsa-miR-526b-3p
MLLT6	hsa-miR-20b-5p
MLLT6	hsa-miR-372
MLLT6	hsa-miR-373-3p
MLLT6	hsa-miR-4425
MLLT6	hsa-miR-512-3p
MLLT6	hsa-miR-526b-3p
RNF213	hsa-miR-30c-1-3p
RNF213	hsa-miR-3122
RNF213	hsa-miR-3689a-3p
RNF213	hsa-miR-3689b-3p
RNF213	hsa-miR-3689c
AKT2	hsa-miR-302e
AKT2	hsa-miR-520d-3p
KRAS	hsa-miR-4684-5p
KDSR	hsa-miR-411-5p
ARHGAP26	hsa-miR-3187-5p
ARHGAP26	hsa-miR-3675-3p
NRAS	hsa-miR-150-5p
NRAS	hsa-miR-513c-5p
ZNF320	hsa-miR-340-3p
BCL11A	hsa-miR-3913-3p
AFF4	hsa-miR-382-5p
RUNX1T1	hsa-miR-4424
CREB3L2	hsa-miR-4270
AFF4	hsa-miR-485-3p
RUNX1	hsa-miR-548k
ERBB3	hsa-miR-28-5p
MAF	hsa-miR-4676-3p
MAF	hsa-miR-599
SPI1	hsa-miR-4715-5p
AFF4	hsa-miR-552
BCL11A	hsa-miR-548d-3p
RUNX1T1	hsa-miR-2113
VAV2	hsa-miR-4687-3p
AFF1	hsa-miR-298
CRKL	hsa-miR-22-5p
PBX1	hsa-miR-3158-5p
WNT5A	hsa-miR-4481
FGF5	hsa-miR-4307
PBX3	hsa-miR-33a-3p
CARS	hsa-miR-583
LITAF	hsa-miR-654-3p
GNAS	hsa-miR-4661-3p
GNAS	hsa-miR-596
GNAS	hsa-miR-1273g-5p
GNAS	hsa-miR-3937
GNAS	hsa-miR-657
GNAS	hsa-miR-876-3p
WHSC1	hsa-miR-338-5p
WHSC1	hsa-miR-3163
WHSC1	hsa-miR-4803
WHSC1	hsa-miR-1273g-3p
WHSC1	hsa-miR-3175
WHSC1	hsa-miR-4661-3p
WHSC1	hsa-miR-4999-3p
PML	hsa-miR-4695-5p
STIL	hsa-miR-650
REL	hsa-miR-512-3p
TCTA	hsa-miR-106a-5p
TCTA	hsa-miR-17-5p
TCTA	hsa-miR-302a-3p
TCTA	hsa-miR-302b-3p
TCTA	hsa-miR-302c-3p
TCTA	hsa-miR-3122
TCTA	hsa-miR-3147
TCTA	hsa-miR-512-3p
TCTA	hsa-miR-520a-3p
TCTA	hsa-miR-520b
TCTA	hsa-miR-520c-3p
TCTA	hsa-miR-520d-3p
TCTA	hsa-miR-520e
WHSC1	hsa-miR-5583-3p
FGF5	hsa-miR-548ao-5p
FGF5	hsa-miR-548aq-5p
FGF5	hsa-miR-548as-5p
FGF5	hsa-miR-548j
FGF5	hsa-miR-548k
FGF5	hsa-miR-559
FGF5	hsa-miR-4635
ARHGAP26	hsa-miR-619
FGFR1	hsa-miR-130a-3p
FGFR1	hsa-miR-130b-3p
FGFR1	hsa-miR-143-5p
FGFR1	hsa-miR-301a-3p
FGFR1	hsa-miR-301b
FGFR1	hsa-miR-5693
NET1	hsa-miR-4789-3p
CBL	hsa-miR-374b-3p
ERBB3	hsa-miR-204-3p
ERBB3	hsa-miR-4663
ERBB3	hsa-miR-5089
ERBB3	hsa-miR-5186
ERBB3	hsa-miR-5589-5p
MDM2	hsa-miR-548a-5p
MDM2	hsa-miR-548ak
MDM2	hsa-miR-548am-5p
MDM2	hsa-miR-548ap-5p
MDM2	hsa-miR-548ar-5p
MDM2	hsa-miR-548as-5p
MDM2	hsa-miR-548au-5p
MDM2	hsa-miR-548c-3p
MDM2	hsa-miR-548c-5p
MDM2	hsa-miR-548d-5p
MDM2	hsa-miR-548h-5p
MDM2	hsa-miR-548i
MDM2	hsa-miR-548j
MDM2	hsa-miR-548k
MDM2	hsa-miR-548l
MDM2	hsa-miR-548o-5p
MDM2	hsa-miR-548t-5p
MDM2	hsa-miR-548w
MDM2	hsa-miR-548y
MDM2	hsa-miR-338-3p
MDM2	hsa-miR-4310
MDM2	hsa-miR-149-3p
MDM2	hsa-miR-30c-1-3p
MDM2	hsa-miR-30c-2-3p
MDM2	hsa-miR-3689a-3p
MDM2	hsa-miR-3689b-3p
MDM2	hsa-miR-3689c
MDM2	hsa-miR-4665-5p
MDM2	hsa-miR-4728-5p
MDM2	hsa-miR-34b-3p
MDM2	hsa-miR-4530
MDM2	hsa-miR-4733-5p
GAS7	hsa-miR-2467-3p
GAS7	hsa-miR-1276
GAS7	hsa-miR-302a-3p
GAS7	hsa-miR-302b-3p
GAS7	hsa-miR-302c-3p
GAS7	hsa-miR-302d-3p
GAS7	hsa-miR-302e
GAS7	hsa-miR-373-3p
GAS7	hsa-miR-4487
GAS7	hsa-miR-512-3p
GAS7	hsa-miR-519d
GAS7	hsa-miR-520a-3p
GAS7	hsa-miR-520b
GAS7	hsa-miR-520c-3p
GAS7	hsa-miR-520d-3p
GAS7	hsa-miR-520e
GAS7	hsa-miR-520g
GAS7	hsa-miR-520h
SPECC1	hsa-miR-532-5p
MLLT6	hsa-miR-106b-5p
MLLT6	hsa-miR-204-3p
MLLT6	hsa-miR-302a-3p
MLLT6	hsa-miR-302b-3p
MLLT6	hsa-miR-302c-3p
MLLT6	hsa-miR-302d-3p
MLLT6	hsa-miR-302e
MLLT6	hsa-miR-3147
MLLT6	hsa-miR-519d
MLLT6	hsa-miR-520a-3p
MLLT6	hsa-miR-520b
MLLT6	hsa-miR-520c-3p
MLLT6	hsa-miR-520d-3p
MLLT6	hsa-miR-520e
MLLT6	hsa-miR-5589-5p
MLLT6	hsa-miR-93-5p
RNF213	hsa-miR-30b-3p
RNF213	hsa-miR-30c-2-3p
RNF213	hsa-miR-425-3p
RNF213	hsa-miR-4728-5p
SS18	hsa-miR-149-3p
SS18	hsa-miR-3689a-3p
SS18	hsa-miR-3689b-3p
SS18	hsa-miR-3689c
SS18	hsa-miR-4493
BCL2	hsa-miR-1231
KDSR	hsa-miR-3937
KDSR	hsa-miR-4438
KDSR	hsa-miR-892b
AKT2	hsa-miR-186-3p
AKT2	hsa-miR-302a-3p
AKT2	hsa-miR-302f
AKT2	hsa-miR-512-3p
AKT2	hsa-miR-520c-3p
AKT2	hsa-miR-520e
MET	hsa-miR-520d-5p
MET	hsa-miR-524-5p
MLLT6	hsa-miR-4279
RNF213	hsa-miR-1236
KDSR	hsa-miR-199a-3p
KDSR	hsa-miR-199b-3p
KDSR	hsa-miR-30a-3p
