	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-miR-149-3p	SIN3A,KIT	ACSL6,CLOCK		4
hsa-miR-150-3p	POM121			1
hsa-miR-150-5p	AHR,ABL2,NRAS		SYK,PCSK5	5
hsa-miR-151a-3p	CRNKL1	TP53	CUX1,IRF6	4
hsa-miR-152	GNAS	NAP1L1		2
hsa-miR-153	LRP6	CREBBP		2
hsa-miR-1538	MYH14			1
hsa-miR-154-5p		NAP1L1		1
hsa-miR-155-3p	BCL11A			1
hsa-miR-15a-5p		CYLD	WHSC1	2
hsa-miR-15b-5p		CYLD	WHSC1	2
hsa-miR-16-1-3p		SUZ12	SHMT1	2
hsa-miR-16-2-3p	ACACA			1
hsa-miR-16-5p		CYLD	WHSC1	2
hsa-miR-17-5p	AHR	MLL	PCSK5,SYK,AFF4	5
hsa-miR-181a-3p	EPHB2			1
hsa-miR-181a-5p		CHD8		1
hsa-miR-181b-3p		ATRX		1
hsa-miR-181b-5p		CHD8		1
hsa-miR-181c-5p		CHD8		1
hsa-miR-181d		CHD8		1
hsa-miR-182-3p	SMC1A,NTRK2	MAP2K4		3
hsa-miR-1827	ZNF814			1
hsa-miR-183-5p	SMC1A	FOXP1		2
hsa-miR-185-3p	TCF4	SMARCB1		2
hsa-miR-185-5p	STARD13			1
hsa-miR-186-3p	AHR	CTCF	SYK,PCSK5,FGFR1	5
hsa-miR-186-5p	RBBP7	EIF1AX		2
hsa-miR-188-3p	GNAS		WHSC1	2
hsa-miR-188-5p	NDRG1			1
hsa-miR-18a-3p			FGFR1	1
hsa-miR-18a-5p		ZFP36L1	JMY	2
hsa-miR-18b-5p		ZFP36L1	JMY	2
hsa-miR-1909-3p	HCFC1	TCF12,MAP2K4		3
hsa-miR-190a		LCP1		1
hsa-miR-190b		LCP1		1
hsa-miR-191-5p		RUNX1		1
hsa-miR-1911-3p	PIK3R3	VHL		2
hsa-miR-1912		RB1		1
hsa-miR-1913	MYH14			1
hsa-miR-1914-3p		EP300		1
hsa-miR-1914-5p			AFF4	1
hsa-miR-1915-3p	ZNF814			1
hsa-miR-1915-5p		TBX3,EEF1A1		2
