	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-miR-4458		TBL1XR1,EEF1A1		2
hsa-miR-4459	CLCC1,POM121	NF2,NF1		4
hsa-miR-4460		KEAP1		1
hsa-miR-4461	BRWD1			1
hsa-miR-4462	GNAS			1
hsa-miR-4463		TP53	IRF6	2
hsa-miR-4464		ZMYM2,BNC2		2
hsa-miR-4465	NRAS			1
hsa-miR-4468	KDR			1
hsa-miR-4469	NDRG1			1
hsa-miR-4470			FGFR1	1
hsa-miR-4472		EP300,TCF7L2		2
hsa-miR-4474-3p	SMC1A		FANCI	2
hsa-miR-4474-5p	LRP6	APAF1,STK11		3
hsa-miR-4476			FGFR1	1
hsa-miR-4477a	ASH1L	SMAD2,GNG2		3
hsa-miR-4478		RUNX1		1
hsa-miR-4481	WNT5A	EP300,KEAP1		3
hsa-miR-4482-5p			FGFR1	1
hsa-miR-4483	NDRG1	EP300		2
hsa-miR-4486	ADCY1			1
hsa-miR-4487		TP53		1
hsa-miR-4488	SOX17,ELF4			2
hsa-miR-4489	ELF4	EIF1AX		2
hsa-miR-4493	FKBP5			1
hsa-miR-4494	CRNKL1	COPS2		2
hsa-miR-4495	NTRK2	TBL1XR1,TCF7L2	AFF4	4
hsa-miR-4496	PTPN11			1
hsa-miR-4499		TP53	CUX1,IRF6	3
hsa-miR-4500		TBL1XR1,EEF1A1		2
hsa-miR-4502	HLF			1
hsa-miR-4503		ACSL6		1
hsa-miR-4504			RASGRP1	1
hsa-miR-4505	LPHN2	MUC20,FAF1		3
hsa-miR-4507	NR2F2	STK11		2
hsa-miR-4508	WNT5A			1
hsa-miR-450a-3p		CLOCK	MYD88,JMY	3
hsa-miR-450a-5p	SIN3A		SH2B3	2
hsa-miR-450b-5p	PRRX1	RAD23B,ERBB2IP		3
hsa-miR-4511		RUNX1		1
hsa-miR-4513	PRRX1	TP53		2
hsa-miR-4514	SIN3A,BRWD1	CDC27,RAD23B		4
hsa-miR-4515	ABL2			1
hsa-miR-4516	NTRK2			1
hsa-miR-4517		LCP1	PCSK5	2
hsa-miR-4519	HCFC1		STK4,FGFR1	3
hsa-miR-452-3p	GNAS,FGFR2	CDKN1A		3
hsa-miR-4520b-3p		FAS		1
hsa-miR-4524a-3p	FAT2	SMAD2,INPPL1		3
hsa-miR-4524a-5p			FGFR1	1
hsa-miR-4524b-3p			IRF6	1
hsa-miR-4524b-5p			FGFR1	1
hsa-miR-4526	RET	VHL		2
hsa-miR-4530	MET,MED17,ZNF814,FKBP5,SIN3A,AHR	APAF1,ACSL6,NF2,EEF1A1	WHSC1,STK4	12
hsa-miR-4531			PTCH1	1
hsa-miR-4532			CUX1	1
hsa-miR-4533	FKBP5		RGS3	2
hsa-miR-4534	HNF1A			1
hsa-miR-4536-3p		GPSM2		1
hsa-miR-4538	CAT			1
hsa-miR-454-3p	LRP6		FGFR1	2
hsa-miR-454-5p	PIK3R3	CUL3		2
hsa-miR-455-3p	ARFGEF2,PIK3R3	CREBBP		3
hsa-miR-455-5p			AFF4	1
hsa-miR-4633-3p		SMARCB1		1
hsa-miR-4633-5p		HLA-A		1
hsa-miR-4635			WHSC1	1
hsa-miR-4637		TJP1	SYNCRIP	2
hsa-miR-4638-3p	NKX3-1			1
hsa-miR-4640-3p			AFF4	1
hsa-miR-4640-5p		EIF1AX,FXR1		2
hsa-miR-4642			SYNCRIP	1
hsa-miR-4644	STARD13			1
hsa-miR-4645-5p	PIK3R3,FKBP5	CDKN2A		3
hsa-miR-4646-5p	LPHN2			1
hsa-miR-4647	HNF1A	TCF7L2,KEAP1	STK4	4
hsa-miR-4649-3p	MYH11,ZNF814			2
hsa-miR-4651	NR2F2	MUC20		2
hsa-miR-4652-3p	AHR,KIT		PRKCZ	3
hsa-miR-4653-5p		TET2		1
hsa-miR-4654	DLG1			1
hsa-miR-466	G3BP2			1
hsa-miR-4660	POM121			1
hsa-miR-4661-3p	GNAS		WHSC1	2
hsa-miR-4662a-3p	SCAI			1
hsa-miR-4662b	HNF1A	TCF7L2,KEAP1	STK4	4
hsa-miR-4663	ERBB3,ZNF814			2
hsa-miR-4664-5p		MUC20		1
hsa-miR-4665-5p	ELF4	CLOCK		2
hsa-miR-4666a-3p		NR4A2,TET2		2
hsa-miR-4666b		NF2,EEF1A1,GPSM2		3
hsa-miR-4667-3p	NTRK2			1
hsa-miR-4667-5p	ELF4	TP53		2
hsa-miR-4668-3p	EGFR,SCAI,SRGAP1,NTRK2,BCL11A			5
hsa-miR-4668-5p		MLL3	JMY	2
hsa-miR-4671-3p		CDKN2A		1
hsa-miR-4672	G3BP2,NRAS			2
hsa-miR-4673	PIK3R3,FKBP5	CDKN2A		3
hsa-miR-4676-5p	ZNF814,FGFR2			2
hsa-miR-4677-3p	NTRK2,RAF1	NAP1L1		3
hsa-miR-4677-5p		MAP2K4		1
hsa-miR-4678	KRAS			1
hsa-miR-4679	NTRK2			1
hsa-miR-4680-3p	NTRK2			1
hsa-miR-4680-5p	PPP2R5C	NF2		2
hsa-miR-4684-5p	KRAS	ARHGAP26,PTGS1	CUX1,FGFR1	5
hsa-miR-4685-3p	NDRG1			1
hsa-miR-4686	CAT	IRS2		2
hsa-miR-4687-3p	MAX	ATRX		2
hsa-miR-4690-3p	ABL2			1
hsa-miR-4690-5p		CHD3		1
hsa-miR-4691-3p	SMC1A	CDKN2A	WHSC1	3
hsa-miR-4691-5p		INPPL1		1
hsa-miR-4692	SIN3A			1
hsa-miR-4693-3p		CDKN1B		1
hsa-miR-4694-3p		LDHA		1
hsa-miR-4694-5p		CUL2		1
hsa-miR-4695-5p	NTRK3,FAT2		FGFR1	3
hsa-miR-4697-5p	SOX17,ELF4			2
hsa-miR-4698	SCAI,PIK3R3			2
hsa-miR-4700-5p		TP53		1
hsa-miR-4701-3p		KEAP1	WNK1	2
hsa-miR-4703-5p			FGFR1	1
hsa-miR-4705		CLOCK		1
hsa-miR-4708-3p	MECOM	NF1	FGFR1	3
hsa-miR-4708-5p	ERBB3		FGFR1	2
hsa-miR-4709-5p	BRWD1			1
hsa-miR-4710	NTRK3	KEAP1		2
hsa-miR-4711-5p	POM121	ARHGEF6		2
hsa-miR-4712-3p	FAT2,CTNNB1			2
hsa-miR-4712-5p	FGFR2			1
hsa-miR-4713-3p		VHL		1
hsa-miR-4714-3p	GNAS			1
hsa-miR-4715-5p		MAP2K4		1
hsa-miR-4716-3p		MAP2K4	TNPO1	2
hsa-miR-4716-5p	FGFR3			1
hsa-miR-4717-5p	ERBB3,PLCG1			2
hsa-miR-4718			WASF3	1
hsa-miR-4719	PLCB1		SPOP	2
hsa-miR-4720-3p	TCF4			1
hsa-miR-4720-5p			PRKCZ	1
hsa-miR-4722-3p	PLCG1,EGFR,GNAS	CASP1		4
hsa-miR-4722-5p	ZNF814	EEF1A1		2
hsa-miR-4723-5p		ARID1A,CLOCK	SMURF2	3
hsa-miR-4724-5p			SH2B3	1
hsa-miR-4725-5p		THRAP3,TP53		2
hsa-miR-4726-3p	HNF1A,ZNF814			2
hsa-miR-4726-5p		EIF1AX,FXR1,ARHGAP26		3
hsa-miR-4727-3p		KEAP1		1
hsa-miR-4728-5p	SIN3A	CIC,TFDP2,ACSL6,CLOCK		5
hsa-miR-4729		FXR1		1
hsa-miR-4730			PRKCZ	1
hsa-miR-4731-3p	G3BP2	NR4A2	FGFR1	3
hsa-miR-4731-5p		MUC20,TP53		2
hsa-miR-4733-5p	SIN3A,MED17,MET,FKBP5	ACSL6,APAF1,EEF1A1,VHL		8
hsa-miR-4735-3p	GNAS	ZFP36L1	JMY	3
hsa-miR-4735-5p		CAST		1
hsa-miR-4736	SOX17	MAP2K4		2
hsa-miR-4737	SIN3A			1
hsa-miR-4738-3p	AKT3			1
hsa-miR-4738-5p	FKBP5	ZNF292		2
hsa-miR-4739	KIT	ACSL6		2
hsa-miR-4740-5p	ABL2			1
hsa-miR-4742-3p	AHR			1
hsa-miR-4742-5p		CDC27		1
hsa-miR-4745-5p	WNT5A	EP300,KEAP1		3
hsa-miR-4746-5p		NF2		1
hsa-miR-4747-5p	LPHN2,NTRK3	KDM5C		3
hsa-miR-4748		ZMYM2,BNC2		2
hsa-miR-4750		CDKN2A		1
hsa-miR-4751	BAZ2B			1
hsa-miR-4753-5p	PLCG1,ERBB3,FKBP5			3
hsa-miR-4754		ARID5B		1
hsa-miR-4755-3p	FKBP5	NF2		2
hsa-miR-4755-5p	PLCB1	CTCF		2
hsa-miR-4756-3p		DEPDC1B		1
hsa-miR-4756-5p	KIT	ACSL6		2
hsa-miR-4757-5p	POM121			1
hsa-miR-4758-3p		CDKN2B	PTCH1	2
hsa-miR-4758-5p		EP300,KEAP1		2
hsa-miR-4760-3p		GNG2		1
hsa-miR-4761-5p		TCF7L2		1
hsa-miR-4762-3p	HNF1A			1
hsa-miR-4762-5p		TCF7L2		1
hsa-miR-4763-3p		MAP2K4		1
hsa-miR-4763-5p	MYH14		CRTC3	2
hsa-miR-4766-3p		CCAR1,NAP1L1	FGFR1	3
hsa-miR-4768-3p	CLCC1,ZNF814,POM121	EEF1A1,INPPL1		5
hsa-miR-4768-5p		IRS2		1
hsa-miR-4770	ERBB3			1
hsa-miR-4773	KDR	CHD3		2
hsa-miR-4774-5p	BPTF	GATA3		2
hsa-miR-4775	AHR,KRAS			2
hsa-miR-4778-3p	POM121			1
hsa-miR-4778-5p		PTGS1	MYC	2
hsa-miR-4781-5p	WNT5A			1
hsa-miR-4782-5p	NKX3-1	NOTCH1		2
hsa-miR-4783-3p	KIT			1
hsa-miR-4783-5p		SMAD4		1
hsa-miR-4787-3p			TNPO1	1
hsa-miR-4787-5p		ARHGAP26		1
hsa-miR-4789-3p	SETDB1,CLCC1			2
hsa-miR-4790-3p	KALRN			1
hsa-miR-4790-5p	ROBO2			1
hsa-miR-4793-3p	PLCB1	CYLD		2
hsa-miR-4793-5p	GNAS			1
hsa-miR-4795-3p		FBXW7		1
hsa-miR-4795-5p	MYH11			1
hsa-miR-4797-5p		ARHGAP35		1
hsa-miR-4799-5p	BCL11A			1
hsa-miR-4801	G3BP2			1
hsa-miR-4802-5p	KIT,HNF1A			2
hsa-miR-4803	AHR,PGR		WHSC1	3
hsa-miR-4804-5p	ABL2			1
hsa-miR-483-3p	PPP2R5C	CDKN2B		2
hsa-miR-483-5p	DIS3	KEAP1		2
hsa-miR-484	PIK3R3,HNF1A			2
hsa-miR-485-3p		FAS,SMAD2	AFF4	3
hsa-miR-485-5p	MAX	RUNX1		2
hsa-miR-486-3p	SOX17			1
hsa-miR-488-3p	BRWD1		WNK1	2
hsa-miR-488-5p		TBL1XR1		1
hsa-miR-489	BCL11A		AFF4	2
hsa-miR-490-3p	GNAS		MAGI2	2
hsa-miR-490-5p	POM121			1
hsa-miR-491-3p	NTRK2			1
hsa-miR-491-5p	STARD13,EGFR			2
hsa-miR-493-3p			MYD88	1
hsa-miR-493-5p	SOS1	FAS		2
hsa-miR-494		KLF6	RASGRP1	2
hsa-miR-495	AHR,KAT6B	MLH3,CCAR1,TJP1	PIK3C2B	6
hsa-miR-496	NTRK2			1
hsa-miR-497-5p		CYLD	WHSC1	2
hsa-miR-498	FKBP5			1
hsa-miR-4999-3p			WHSC1	1
hsa-miR-499a-3p		FOXP1	XRN1	2
hsa-miR-499a-5p	TCF4		CUX1	2
hsa-miR-499b-3p		FOXP1	XRN1	2
hsa-miR-499b-5p	CRNKL1	COPS2		2
hsa-miR-5002-5p		MAP2K4		1
hsa-miR-5003-3p	BRWD1,PLCB1,AKT3		AFF4	4
hsa-miR-5003-5p		MAP2K4	MED24,CAPN7	3
hsa-miR-5004-3p			ACSL3	1
hsa-miR-5006-3p	PLCB1	CTCF		2
hsa-miR-5006-5p	ABL2	NF2		2
hsa-miR-5007-3p	NKX3-1	FAS		2
hsa-miR-5008-3p	HRAS		AFF4	2
hsa-miR-5008-5p			CUX1	1
hsa-miR-500a-5p	ROBO2			1
hsa-miR-501-3p			AFF4	1
hsa-miR-501-5p	ROBO2	VHL		2
hsa-miR-5010-3p	RET			1
hsa-miR-502-3p			AFF4	1
hsa-miR-502-5p		TBX3,EEF1A1		2
hsa-miR-503	GNAS			1
hsa-miR-504		TP53,THRAP3		2
hsa-miR-5047	BRWD1,SIN3A		FGFR1	3
hsa-miR-505-5p	ASH1L			1
hsa-miR-506-3p		CEBPA		1
hsa-miR-507	PPP2R5C,FGFR2			2
hsa-miR-508-5p		KDM5C	STK4	2
hsa-miR-5087		PPP2R5A		1
hsa-miR-5089	ERBB3,DIS3,ADCY1	TFDP2		4
hsa-miR-509-3-5p			FGFR1	1
hsa-miR-509-5p			FGFR1	1
hsa-miR-5091			PTCH1	1
hsa-miR-5092		STK11		1
hsa-miR-5093	NTRK2,RET,PTPN11			3
hsa-miR-5095	NTRK2	ARHGAP26,CDC27,RAD23B,TFDP2		5
hsa-miR-5096	ERBB3	ARHGAP26		2
hsa-miR-510		CDKN2A,NF2		2
hsa-miR-5100		CYLD		1
hsa-miR-511		FN1		1
hsa-miR-512-3p			PCSK5	1
hsa-miR-512-5p		TBL1XR1,ATRX		2
hsa-miR-513a-3p	KALRN		TNPO1	2
hsa-miR-513c-3p	KALRN		TNPO1	2
hsa-miR-513c-5p	BCLAF1,NRAS			2
hsa-miR-514b-5p	NRAS,BCLAF1			2
hsa-miR-516a-3p		EEF1A1		1
hsa-miR-516a-5p		PTGS1		1
hsa-miR-516b-3p		EEF1A1		1
hsa-miR-516b-5p	SRGAP1			1
hsa-miR-517-5p		PTGS1		1
hsa-miR-517a-3p		CDKN2A		1
hsa-miR-517b-3p		CDKN2A		1
hsa-miR-517c-3p		CDKN2A		1
hsa-miR-5186	ERBB3,PTPN11			2
hsa-miR-5187-3p	NTRK2		SH2B3	2
hsa-miR-5189		ARHGAP26	JMY	2
hsa-miR-518a-5p	LRP6,KALRN,FGFR3	ERBB2IP,RAD23B		5
hsa-miR-518c-5p		NOTCH1		1
hsa-miR-518e-3p		TP53		1
hsa-miR-5190		STK11	RASGRP1	2
hsa-miR-5192	STARD13			1
hsa-miR-5193		PIK3R1,INPPL1		2
hsa-miR-5194		EP300		1
hsa-miR-5196-3p	GNAS	CCAR1		2
hsa-miR-5196-5p	LPHN2,NTRK3	KDM5C		3
hsa-miR-5197-3p		EIF1AX	FGFR1	2
hsa-miR-519a-3p		NF1	AFF4	2
hsa-miR-519b-3p		NF1	AFF4	2
hsa-miR-519c-3p		NF1	AFF4	2
hsa-miR-519d	AHR	MLL	PCSK5,SYK,AFF4	5
hsa-miR-520a-3p	AHR,TCF4	TP53	PCSK5	4
hsa-miR-520a-5p		COPS2		1
hsa-miR-520b	TCF4,AHR	TP53	PCSK5	4
hsa-miR-520c-3p	TCF4,AHR	TP53	PCSK5	4
hsa-miR-520d-3p	AHR,TCF4	TP53	PCSK5	4
hsa-miR-520d-5p	MET,PIK3R3	NR4A2		3
hsa-miR-520e	AHR,TCF4	TP53	PCSK5	4
hsa-miR-520g	AHR		SYK,PCSK5,AFF4	4
hsa-miR-520h	AHR		SYK,PCSK5,AFF4	4
hsa-miR-522-3p	AHR		SVEP1,SHMT1	3
hsa-miR-523-3p		GPSM2		1
hsa-miR-524-5p	MET,PIK3R3	NR4A2		3
hsa-miR-525-5p		COPS2		1
hsa-miR-526b-3p	AHR	MLL	PCSK5,AFF4	4
hsa-miR-526b-5p		TBL1XR1	WHSC1	2
hsa-miR-527	LRP6,KALRN,FGFR3	ERBB2IP,RAD23B		5
hsa-miR-532-3p	GNAS			1
hsa-miR-532-5p		MUC20,CUL2,EEF1A1,HLA-A	WHSC1	5
hsa-miR-539-3p		FAS,SMAD2	AFF4	3
hsa-miR-541-5p	NTRK2,BRWD1			2
hsa-miR-542-3p		NCOR1		1
hsa-miR-543	ADCY1	SUZ12	ARID4A	3
hsa-miR-545-3p	GNAS			1
hsa-miR-545-5p	EIF4A2,BCLAF1			2
hsa-miR-548a-5p			EFTUD2	1
hsa-miR-548aa	AKT1			1
hsa-miR-548ab			EFTUD2	1
hsa-miR-548ac	AKT1,BCL11A		SHMT1	3
hsa-miR-548ae	AHR	MSR1,NCOR1	SHMT1	4
hsa-miR-548ag		MSR1	IRF6	2
hsa-miR-548ah-3p	AHR	MSR1,NCOR1	SHMT1	4
hsa-miR-548ah-5p	NTRK3	MLL		2
hsa-miR-548ai		MSR1	IRF6	2
hsa-miR-548aj-3p	AHR	MSR1,NCOR1	SHMT1	4
hsa-miR-548aj-5p	LRP6	ERBB2IP		2
hsa-miR-548ak			EFTUD2	1
hsa-miR-548am-3p	AHR	MSR1,NCOR1	SHMT1	4
hsa-miR-548am-5p			EFTUD2	1
hsa-miR-548an			AFF4	1
hsa-miR-548ao-3p	TCF4			1
hsa-miR-548ao-5p	GNAS	EEF1A1		2
hsa-miR-548ap-3p	AKT1			1
hsa-miR-548ap-5p			EFTUD2	1
hsa-miR-548aq-3p	AHR	MSR1,NCOR1	SHMT1	4
hsa-miR-548aq-5p			EFTUD2	1
hsa-miR-548ar-5p			EFTUD2	1
hsa-miR-548as-3p	BCL11A			1
hsa-miR-548as-5p			EFTUD2	1
hsa-miR-548at-5p			AFF4	1
hsa-miR-548au-5p			EFTUD2	1
hsa-miR-548av-5p	DIS3	RUNX1	EFTUD2	3
hsa-miR-548aw	LRP6,KALRN	RAD23B,ERBB2IP		4
hsa-miR-548ax	GNAS	EEF1A1		2
hsa-miR-548b-5p			EFTUD2	1
hsa-miR-548c-3p	BCL11A,NTRK2	GNG2	SHMT1	4
hsa-miR-548c-5p			EFTUD2	1
hsa-miR-548d-3p	AKT1,BCL11A		SHMT1	3
hsa-miR-548d-5p			EFTUD2	1
hsa-miR-548g-3p		TJP1		1
hsa-miR-548g-5p	LRP6	ERBB2IP		2
hsa-miR-548h-3p	AKT1,BCL11A		SHMT1	3
hsa-miR-548h-5p			EFTUD2	1
hsa-miR-548i			EFTUD2	1
hsa-miR-548j			EFTUD2	1
hsa-miR-548k	DIS3	RUNX1	EFTUD2	3
hsa-miR-548l			EFTUD2	1
hsa-miR-548m		MSR1		1
hsa-miR-548n		PIK3R1		1
hsa-miR-548o-5p			EFTUD2	1
hsa-miR-548s	NTRK3			1
hsa-miR-548t-3p	AKT1			1
hsa-miR-548u	MCM3,NR2F2	MSR1	FGFR1	4
hsa-miR-548w			EFTUD2	1
hsa-miR-548x-3p	AHR	MSR1,NCOR1	SHMT1	4
hsa-miR-548x-5p	LRP6	ERBB2IP		2
hsa-miR-548y			EFTUD2	1
hsa-miR-548z	AKT1,BCL11A		SHMT1	3
hsa-miR-550a-3-5p		HLA-A		1
hsa-miR-550a-5p		HLA-A		1
hsa-miR-550b-2-5p		HLA-A		1
hsa-miR-550b-3p	BRWD1			1
hsa-miR-551b-5p	LRP6,NTRK2			2
hsa-miR-552	KRAS		AFF4	2
hsa-miR-553	BCLAF1		SHMT1	2
hsa-miR-555			WNK1	1
hsa-miR-556-3p	MECOM			1
hsa-miR-557	PPP2R5C,PRRX1,FGFR2	ERBB2IP		4
hsa-miR-5572		VHL,CLOCK	JMY	3
hsa-miR-5579-3p	CAT	BNC2		2
hsa-miR-5580-3p	HDAC9			1
hsa-miR-5581-3p		EEF1A1		1
hsa-miR-5581-5p			CDK4	1
hsa-miR-5582-3p		NCOR1		1
hsa-miR-5582-5p		CEBPA		1
hsa-miR-5583-3p		LCP1	WHSC1,PTCH1,PCSK5	4
hsa-miR-5583-5p		TJP1		1
hsa-miR-5584-3p	CLCC1			1
hsa-miR-5584-5p	NTRK3	MLL3		2
hsa-miR-5585-3p	KALRN,ROBO2	ACSL6		3
hsa-miR-5585-5p	GNAS		SYK	2
hsa-miR-5586-3p		ATRX	STK4	2
hsa-miR-5587-3p			CUX1	1
hsa-miR-5587-5p	ACACA			1
hsa-miR-5588-3p		APAF1		1
hsa-miR-5589-3p	RAF1			1
hsa-miR-5589-5p	LPHN2,ERBB3,DIS3			3
hsa-miR-5590-3p		NF2	AFF4,EFTUD2	3
hsa-miR-5591-5p	SOX17			1
hsa-miR-561-3p	LPHN2		AFF4	2
hsa-miR-561-5p		TCF7L2		1
hsa-miR-562		IRS2,ARID5B	EFTUD2	3
hsa-miR-563			FGFR1	1
hsa-miR-564	DHX35			1
hsa-miR-566	HRAS			1
hsa-miR-567	FGFR3	NR4A2		2
hsa-miR-568	RET	LIMA1		2
hsa-miR-5680	BCL11A,KAT6B,PTPN11		AFF4	4
hsa-miR-5681a	BRWD1		WNK1	2
hsa-miR-5681b		GATA3,FBXW7		2
hsa-miR-5683	CLCC1	CYLD,NF1		3
hsa-miR-5685	ABL2			1
hsa-miR-5687		MAP2K4		1
hsa-miR-5688	AHR,KAT6B	MLH3,TJP1	PIK3C2B	5
hsa-miR-5689		BNC2	MYD88	2
hsa-miR-5690	AHR	APAF1		2
hsa-miR-5691		TET2,STK11		2
hsa-miR-5692a		ACSL6,NCKAP1	CDC73	3
hsa-miR-5692b			PCSK5	1
hsa-miR-5692c			PCSK5	1
hsa-miR-5693		NF2,STK11	FGFR1	3
hsa-miR-5696	FGFR2	CDKN1B		2
hsa-miR-5697	NRAS			1
hsa-miR-5698		ARID1A,CLOCK	SMURF2	3
hsa-miR-5699		SMAD2		1
hsa-miR-570-3p	ROBO2,CLCC1	ATRX	AFF4	4
hsa-miR-570-5p		MSR1	IRF6	2
hsa-miR-5703	NTRK2			1
hsa-miR-5706	NKX3-1	NOTCH1		2
hsa-miR-5707	CLCC1			1
hsa-miR-572		ATM,PIK3R1		2
hsa-miR-573	MYH11,KIT			2
hsa-miR-574-5p		ATRX		1
hsa-miR-575	FGFR2,ZNF814			2
hsa-miR-576-5p		CAST		1
hsa-miR-577		NF2,DEPDC1B		2
hsa-miR-578			WHSC1	1
hsa-miR-579		CDKN1B		1
hsa-miR-580	BRWD1			1
hsa-miR-582-3p		GATA3,PIK3R1		2
hsa-miR-587	EPHB2,FGFR3			2
hsa-miR-589-3p	LPHN2,KDR	COPS2,MED23	SYNCRIP	5
hsa-miR-589-5p	BAZ2B			1
hsa-miR-590-5p	CAT,MCM3,BRWD1	BNC2		4
hsa-miR-592	HLF,HRAS			2
hsa-miR-593-3p			PRKCZ	1
hsa-miR-593-5p	BRWD1			1
hsa-miR-595	MYH11			1
hsa-miR-596	GNAS		CRTC3	2
hsa-miR-597	BPTF			1
hsa-miR-598			EFTUD2	1
hsa-miR-599	RET			1
hsa-miR-600	ADCY1			1
hsa-miR-603	PIK3R3,KRAS			2
hsa-miR-607	KALRN	APC,LDHA,FUBP1		4
hsa-miR-608	NR2F2	MUC20		2
hsa-miR-609			SMURF2	1
hsa-miR-612	ADCY1	ARHGAP26	JMY	3
hsa-miR-613		SMAD2		1
hsa-miR-616-3p	WNT5A			1
hsa-miR-616-5p	SCAI			1
hsa-miR-617		ACSL6		1
hsa-miR-619	STARD13,CLCC1	ARHGAP26		3
hsa-miR-620			PTCH1	1
hsa-miR-623	PLCB1			1
hsa-miR-624-3p	MECOM	TP53,MSR1,CEBPA		4
hsa-miR-624-5p	EGFR		SYK	2
hsa-miR-625-3p		CCAR1,VHL		2
hsa-miR-625-5p		MAP2K4	TNPO1	2
hsa-miR-627		PSIP1		1
hsa-miR-629-3p	NDRG1			1
hsa-miR-633	RET	CASP8		2
hsa-miR-634		ZNF292	WHSC1	2
hsa-miR-635		THRAP3,NF2	MYD88	3
hsa-miR-637	SOX17,ELF4			2
hsa-miR-641	MCM3			1
hsa-miR-642a-3p	CLCC1			1
hsa-miR-642a-5p	NTRK2			1
hsa-miR-642b-3p	CLCC1			1
hsa-miR-642b-5p	PLCB1			1
hsa-miR-643		FAS,GATA3		2
hsa-miR-644a	DLG1			1
hsa-miR-644b-3p		CDKN1B		1
hsa-miR-648		LIMA1		1
hsa-miR-649			MAGI2	1
hsa-miR-650		TCF7L2	FGFR1	2
hsa-miR-652-3p			FGFR1	1
hsa-miR-652-5p	BCL11A	TP53		2
hsa-miR-654-3p		EEF1A1,MUC20		2
hsa-miR-655	NTRK2			1
hsa-miR-656		MSR1,FBXW7		2
hsa-miR-657	GNAS	NAP1L1,MAP2K4		3
hsa-miR-658			PRKCZ	1
hsa-miR-659-3p		MAP2K4		1
hsa-miR-660-3p	NTRK2	PIK3R1,INPPL1		3
hsa-miR-661			JMY	1
hsa-miR-664-3p	BRWD1,FGFR2	GNG2		3
hsa-miR-665	ZNF814	INPPL1,NF2		3
hsa-miR-676-3p		FN1		1
hsa-miR-676-5p			AFF4	1
hsa-miR-7-1-3p	AHR,KAT6B,LRP6	CCAR1,TJP1	PIK3C2B	6
hsa-miR-7-2-3p	AHR,LRP6,KAT6B	CCAR1,TJP1	PIK3C2B	6
hsa-miR-7-5p		KEAP1,KDM5C,NF2	STK4	4
hsa-miR-708-5p	ERBB3			1
hsa-miR-711			WHSC1	1
hsa-miR-744-5p	WNT5A			1
hsa-miR-759		ATRX,ARHGAP35	PCSK5	3
hsa-miR-760	HNF1A			1
hsa-miR-761		CHD3		1
hsa-miR-764	GNAS	CDKN2A		2
hsa-miR-765	NTRK3		PIP5K1A	2
hsa-miR-766-5p	FAT2		FGFR1	2
hsa-miR-767-5p	BRWD1			1
hsa-miR-770-5p	FGFR2			1
hsa-miR-802	BRWD1,CLCC1			2
hsa-miR-873-3p		ACO1		1
hsa-miR-873-5p		MSR1		1
hsa-miR-874			CDK4	1
hsa-miR-875-3p	LPHN2			1
hsa-miR-875-5p		TET2	FGFR1	2
hsa-miR-876-3p	GNAS			1
hsa-miR-876-5p			ACSL3	1
hsa-miR-877-3p	POM121			1
hsa-miR-877-5p	MAX			1
hsa-miR-885-3p	GNAS	CHD3,CLOCK,MAP2K4		4
hsa-miR-887		PIK3R1		1
hsa-miR-888-3p	GNAS,RET			2
hsa-miR-890	STARD13			1
hsa-miR-891a		NAP1L1		1
hsa-miR-920	SOX17,WNT5A			2
hsa-miR-92a-1-5p			MYD88	1
hsa-miR-92a-2-5p		EP300,TCF7L2		2
hsa-miR-92a-3p	MECOM		STK4	2
hsa-miR-92b-3p	MECOM		STK4	2
hsa-miR-92b-5p		ARID5B		1
hsa-miR-93-3p	AHNAK			1
hsa-miR-93-5p	AHR	MLL	PCSK5,SYK,AFF4	5
hsa-miR-933	ABL2	SMAD4		2
hsa-miR-938		CYLD		1
hsa-miR-940	ZNF814			1
hsa-miR-942		PTGS1	CUX1	2
hsa-miR-943	PRRX1			1
hsa-miR-944	NTRK2			1
hsa-miR-96-3p		PPP2R5A		1
hsa-miR-96-5p		FOXP1		1
hsa-miR-98		EEF1A1,TBL1XR1		2
hsa-miR-99a-3p			CUX1	1
hsa-miR-99b-3p			CUX1	1
