miR Family	Gene Symbol
let-7/98/4458/4500	CCL7
let-7/98/4458/4500	CCND1
let-7/98/4458/4500	CCND2
let-7/98/4458/4500	CCNF
let-7/98/4458/4500	CCNJ
let-7/98/4458/4500	CCNJL
let-7/98/4458/4500	CCNT2
let-7/98/4458/4500	CCNY
let-7/98/4458/4500	CCR7
let-7/98/4458/4500	CD200
let-7/98/4458/4500	CD200R1
let-7/98/4458/4500	CD276
let-7/98/4458/4500	CD300LB
let-7/98/4458/4500	CD86
let-7/98/4458/4500	CDC14B
let-7/98/4458/4500	CDC25A
let-7/98/4458/4500	CDC34
let-7/98/4458/4500	CDC42SE1
let-7/98/4458/4500	CDCA8
let-7/98/4458/4500	CDH22
let-7/98/4458/4500	CDK14
let-7/98/4458/4500	CDK6
let-7/98/4458/4500	CDKN1A
let-7/98/4458/4500	CDV3
let-7/98/4458/4500	CEBPD
let-7/98/4458/4500	CECR6
let-7/98/4458/4500	CEP120
let-7/98/4458/4500	CEP135
let-7/98/4458/4500	CEP164
let-7/98/4458/4500	CERCAM
let-7/98/4458/4500	CERS2
let-7/98/4458/4500	CERS3
let-7/98/4458/4500	CGNL1
let-7/98/4458/4500	CHD4
let-7/98/4458/4500	CHD7
let-7/98/4458/4500	CHD9
let-7/98/4458/4500	CHIC1
let-7/98/4458/4500	CHP
let-7/98/4458/4500	CHRD
let-7/98/4458/4500	CHST3
let-7/98/4458/4500	CHSY3
let-7/98/4458/4500	CHUK
let-7/98/4458/4500	CLASP2
let-7/98/4458/4500	CLCN5
let-7/98/4458/4500	CLDN1
let-7/98/4458/4500	CLDN12
let-7/98/4458/4500	CLDN16
let-7/98/4458/4500	CLDN23
let-7/98/4458/4500	CLP1
let-7/98/4458/4500	CMTM6
let-7/98/4458/4500	CNNM4
let-7/98/4458/4500	CNOT2
let-7/98/4458/4500	CNOT6L
let-7/98/4458/4500	CNTRL
let-7/98/4458/4500	COIL
let-7/98/4458/4500	COL11A1
let-7/98/4458/4500	COL14A1
let-7/98/4458/4500	COL15A1
let-7/98/4458/4500	COL1A1
let-7/98/4458/4500	COL1A2
let-7/98/4458/4500	COL24A1
let-7/98/4458/4500	COL3A1
let-7/98/4458/4500	COL4A1
let-7/98/4458/4500	COL4A2
let-7/98/4458/4500	COL4A5
let-7/98/4458/4500	COL4A6
let-7/98/4458/4500	COL5A2
let-7/98/4458/4500	COL9A3
let-7/98/4458/4500	CPA4
let-7/98/4458/4500	CPD
let-7/98/4458/4500	CPEB1
let-7/98/4458/4500	CPEB2
let-7/98/4458/4500	CPEB3
let-7/98/4458/4500	CPEB4
let-7/98/4458/4500	CPM
let-7/98/4458/4500	CPSF4
let-7/98/4458/4500	CRB2
let-7/98/4458/4500	CRBN
let-7/98/4458/4500	CRCT1
let-7/98/4458/4500	CRTAP
let-7/98/4458/4500	CRY2
let-7/98/4458/4500	CSRNP3
let-7/98/4458/4500	CTHRC1
let-7/98/4458/4500	CTIF
let-7/98/4458/4500	CTNS
let-7/98/4458/4500	CTPS
let-7/98/4458/4500	CTSC
let-7/98/4458/4500	CUX1
let-7/98/4458/4500	CXorf36
let-7/98/4458/4500	CYB561D1
let-7/98/4458/4500	CYP19A1
let-7/98/4458/4500	CYP46A1
let-7/98/4458/4500	CYTH3
let-7/98/4458/4500	DAGLA
let-7/98/4458/4500	DAPK1
let-7/98/4458/4500	DCAF15
let-7/98/4458/4500	DCAF8
let-7/98/4458/4500	DCUN1D2
let-7/98/4458/4500	DCUN1D3
let-7/98/4458/4500	DCX
let-7/98/4458/4500	DDI2
let-7/98/4458/4500	DDN
let-7/98/4458/4500	DDOST
let-7/98/4458/4500	DDX19A
let-7/98/4458/4500	DDX19B
let-7/98/4458/4500	DDX26B
let-7/98/4458/4500	DHX57
let-7/98/4458/4500	DICER1
let-7/98/4458/4500	DKK3
let-7/98/4458/4500	DLC1
let-7/98/4458/4500	DLD
let-7/98/4458/4500	DLGAP1
let-7/98/4458/4500	DLGAP4
let-7/98/4458/4500	DLST
let-7/98/4458/4500	DMD
