	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
AJUBA														32.0	84.0														
AK2							34.0			40.0																			15.0
AK3									30.0						95.0														
AK4								37.0							20.0														
AK5														52.0															
AKAP1														18.0															
AKAP11														56.0															
AKAP12			32.0																						96.0				
AKAP13														88.0	50.0														
AKAP2															78.0			33.0											
AKAP5															18.0														
AKAP7														63.0															
AKAP8															21.0														
AKIRIN1																									98.0				
AKNA	9.0													14.0				14.0							11.0				
AKR1C2																									24.0				
AKT1														69.0										90.0					
AKT2											30.0			87.0	87.0										135.0				
AKT3																			19.0										
AKTIP														28.0										46.0					
ALAD														9.0															
ALB															9.0														
ALCAM																		19.0											
ALDH1A2			68.0																										
ALDH1A3														35.0	30.0														
ALDH1B1																									64.0				
ALDH1L2																									19.0				
ALDH3A2																				36.0					36.0				
ALDH3B2														66.0															
ALDH4A1									38.0																				
ALDH5A1									30.0									12.0							14.0				
ALDH7A1			84.0											78.0															
ALDOB														71.0	39.0														
ALG1																													9.0
ALG11		18.0								21.0				16.0															71.0
ALG12																													18.0
ALG8																													26.0
ALG9									100.0																				
ALKBH2		68.0																											
ALKBH4																									95.0				
ALKBH5														67.0															
ALOX15B																									56.0				
ALOXE3																			74.0										
ALPK1																									93.0				
ALPK3			16.0																										
ALPP															31.0										50.0				
ALS2														27.0	25.0														
ALS2CL																			12.0										
ALS2CR11																													20.0
ALS2CR8																			50.0										
ALX1															38.0														
