	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
AK5														44.0															
AKAP1														18.0															
AKAP11														24.0															
AKAP12			22.0																						38.0				
AKAP13														50.0	22.0														
AKAP2															60.0			27.0											
AKAP5															12.0														
AKAP7														33.0															
AKAP8															12.0														
AKIRIN1																									30.0				
AKNA	6.0													11.0				4.0							8.0				
AKR1C2																									18.0				
AKT1														57.0										63.0					
AKT2											30.0			42.0	27.0										21.0				
AKT3																			4.0										
AKTIP														8.0										32.0					
ALAD														3.0															
ALB															3.0														
ALCAM																		10.0											
ALDH1A2			36.0																										
ALDH1A3														28.0	17.0														
ALDH1B1																									24.0				
ALDH1L2																									10.0				
ALDH3A2																				14.0					16.0				
ALDH3B2														50.0															
ALDH4A1									20.0																				
ALDH5A1																		6.0							4.0				
ALDH7A1			45.0											57.0															
ALDOB														46.0	22.0														
ALG1																													4.0
ALG11		3.0								20.0				9.0															37.0
ALG12																													9.0
ALG8																													17.0
ALG9									20.0																				
ALKBH2		30.0																											
ALKBH4																									28.0				
ALKBH5														21.0															
ALOX15B																									34.0				
ALOXE3																			44.0										
ALPK1																									51.0				
ALPK3			6.0																										
ALPP															14.0										29.0				
ALS2														20.0	17.0														
ALS2CL																			6.0										
ALS2CR11																													2.0
ALS2CR8																			28.0										
ALX1															4.0														
ALX4			10.0											11.0															
AMACR																										18.0			17.0
AMD1														32.0															
AMER1														9.0															9.0
AMER2														8.0															
AMMECR1									21.0						21.0														
AMN1														8.0															13.0
AMOTL1															28.0														
AMOTL2														18.0	4.0														
AMPD3																		75.0											
AMT														12.0															
AMTN														6.0															
ANAPC7					18.0									5.0	16.0										11.0				
ANGEL1														24.0															
ANGEL2																									67.0				
ANGPT1														6.0	6.0	10.0													
ANGPT2		9.0	21.0												15.0										21.0				
ANGPT4														18.0	5.0														
ANGPTL1														4.0	9.0														
ANK1															40.0	80.0													
ANKEF1																									14.0				
ANKH									8.0						8.0										15.0				
ANKHD1-EIF4EBP3														3.0															
ANKLE1																									8.0				
ANKMY2																		1.0											
ANKRD12														9.0	12.0														
ANKRD13B														7.0															
ANKRD13C														3.0															
ANKRD17															14.0														
ANKRD18A																									6.0				10.0
ANKRD20A4																									9.0				
ANKRD23														33.0	8.0														
ANKRD26									6.0					22.0															
ANKRD28			27.0											6.0													15.0		
ANKRD29															7.0														
ANKRD33B			14.0																										
ANKRD34A			29.0																										
ANKRD37															6.0														
ANKRD40															11.0														
ANKRD45									10.0																				
ANKRD46															6.0														
ANKRD49														7.0															
ANKRD50														40.0	18.0														
ANKRD52														21.0	6.0														
ANKRD53																													7.0
ANKRD6											95.0														80.0				
ANKRD7																													17.0
ANKRD9												7.0																	
ANKS1A														19.0															
ANKS1B								27.0																					
ANKS3														22.0															
ANKS4B														8.0											24.0				
ANKS6														2.0		6.0													
ANO1														12.0															
ANO2														6.0															
ANO6														33.0	30.0										11.0				
ANO7																									8.0				
ANO8														24.0															
ANP32A															11.0														
ANP32B														6.0															
ANPEP														24.0															
ANTXR1															14.0														
ANTXR2															17.0														
ANXA10											3.0																		
ANXA13										18.0					28.0														
ANXA7															28.0														
AOAH																													26.0
AOC2														10.0															
AOC3														23.0															
AOX1																1.0												5.0	
AP1AR														24.0															
AP1S1														55.0															
AP1S2														3.0															
AP1S3																									24.0				
AP2S1														14.0															
AP3D1														15.0	7.0														
AP3M1												16.0																	
AP3S2																									26.0				
AP4E1															38.0	22.0									6.0				
AP4S1																									24.0				
AP5B1														13.0											7.0				
AP5S1																									9.0				
AP5Z1														4.0															
APAF1																									72.0				
APBA1																4.0													
APBA2															12.0														
APBB1														119.0															
APBB2									49.0			63.0		56.0	175.0														
APC															6.0														
APC2															23.0														
APH1A														52.0															
API5																													104.0
APITD1-CORT										5.0					15.0														21.0
APLF									14.0							4.0													
APLN									6.0						21.0														
APLP1														40.0															
APLP2																													50.0
APMAP														14.0	8.0														
APOA1BP														17.0															
APOA5														28.0															
APOB														6.0															
APOBEC1														11.0															
APOBEC3D														26.0															
APOBEC3F																			20.0										
APOBEC3G														5.0															
APOBEC3H																									24.0				
APOC2														28.0															
APOD														5.0															
APOF																									4.0				
APOL1															40.0										8.0				
APOL2																		12.0											
APOL4														32.0															
APOL6			6.0											9.0				10.0							11.0				
APOLD1																									18.0				
APOOL									4.0																				6.0
APOPT1														9.0											5.0				
APPBP2																12.0									10.0				
APPL1								8.0																					
APTX																													16.0
AQP2															10.0														
AQP3														6.0				5.0											
AQP4														4.0															
AQP6															9.0														
AQP9														7.0	15.0														
AR									6.0						18.0														
ARAF														76.0															
ARC														15.0															
ARCN1														8.0											10.0				
ARF1														4.0															
ARF3												7.0			4.0										7.0				
ARF4																									14.0				
ARFGAP2			2.0																										
ARFGAP3															18.0														
ARFGEF2			5.0																										
ARFIP2															32.0														
ARFRP1		5.0												40.0					4.0										1.0
ARHGAP1														38.0															
ARHGAP11A																									22.0				
ARHGAP12														19.0						18.0									
ARHGAP23														10.0															
ARHGAP24									15.0						57.0														
ARHGAP25														20.0															
ARHGAP26																								14.0	66.0				
ARHGAP27														7.0															
ARHGAP28										8.0				13.0															
ARHGAP31															14.0														
ARHGAP35														15.0															
ARHGAP40														7.0															
ARHGAP5															9.0														
ARHGAP8														19.0															
ARHGDIA			36.0											114.0															
ARHGDIB																									20.0				
ARHGEF1														6.0															
ARHGEF10														9.0															
ARHGEF11														12.0															
ARHGEF12				8.0																									
ARHGEF26									3.0					21.0	15.0										39.0				2.0
ARHGEF28														27.0															
ARHGEF3														12.0															
ARHGEF33														11.0															
ARHGEF38			22.0				1.0			8.0																			
ARHGEF39														32.0										19.0	27.0				30.0
ARHGEF4														24.0															
ARHGEF6														22.0															
ARHGEF7																				10.0									
ARHGEF9									18.0					36.0	96.0														
ARID1A														46.0											22.0				
ARID3B														13.0															
ARID4A															24.0														
ARID4B														18.0	21.0														
ARID5A																													10.0
