	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
AMOTL1															31														
AMOTL2														37	10														
AMPD3																		180											
AMT														27															
AMTN														12															
ANAPC7					25									26	39										25				
ANGEL1														49															
ANGEL2															17										161				
ANGPT1														11	12	22													
ANGPT2		27	39												15										69				
ANGPT4														41	16														
ANGPTL1														12	14														
ANK1															192	184													
ANK2																													21
ANKEF1																									36				
ANKH									14						18										64				
ANKHD1-EIF4EBP3														4															
ANKLE1																									38				
ANKMY2																		11											
ANKRD12														15	15														
ANKRD13B														15															
ANKRD13C														18															
ANKRD17															48														
ANKRD18A																									11				20
ANKRD20A4																									19				
ANKRD23														52	26														
ANKRD26									70					32															
ANKRD28			54											39													57		
ANKRD29															19														
ANKRD33B			26																										
ANKRD34A			43																										
ANKRD37															16														
ANKRD40															26														
ANKRD45									29																				
ANKRD46															8														
ANKRD49														12															
ANKRD50														78	56														
ANKRD52														59	10														
ANKRD53																													13
ANKRD6											145														155				
ANKRD65																													
ANKRD7																													25
ANKRD9												41																	
ANKS1A														35															
ANKS1B								72																					
ANKS3														34															
ANKS4B														11											31				
ANKS6														11		12													
ANO1														26															
ANO2														13															
ANO6														63	39										26				
ANO7																									52				
ANO8														26															
ANP32A															40														
ANP32B														6															
ANPEP														36															
ANTXR1															23														
ANTXR2															38														
ANXA10											14																		
ANXA13										58					36														
ANXA7															34														
AOAH																													46
AOC2														16															
AOC3														31															
AOX1																10												11	
AP1AR														56															
AP1S1														69															
AP1S2														3															
AP1S3																									49				
AP2S1														18															
AP3D1														33	11														
AP3M1												36																	
AP3S2																									47				
AP4E1															60	34									24				
AP4S1																									45				
AP5B1														19											17				
AP5S1																									30				
AP5Z1														7															
APAF1																									132				
APBA1																10													
APBA2															26														
APBB1														189															
APBB2									56			98		98	238														
APC															60														
APC2															34														
APH1A														68															
API5																													196
APITD1-CORT										7					39														47
APLF									28							6													
APLN									17						36														
APLP1														80															
APLP2																													65
APMAP														34	20														
APOA1BP														24															
APOA5														84															
APOB														6															
APOBEC1														17															
APOBEC3D														47															
APOBEC3F																			27										
APOBEC3G														11															
APOBEC3H																									111				
APOC2														45															
APOD														12															
APOF																									10				
APOL1															96										24				
APOL2																		16											
APOL4														50															
APOL6			13											16				17							28				
APOLD1																									80				
APOOL									8																				11
APOPT1														15											15				
APPBP2																22									34				
APPL1								14																					
APTX																													48
AQP2															19														
AQP3														12				12											
AQP4														8															
AQP6															30														
AQP9														13	22														
AR									26						44														
ARAF														114															
ARC														23															
ARCN1														18											20				
ARF1														48															
ARF3												10			10										12				
ARF4																									18				
ARFGAP2			6																										
ARFGAP3															24														
ARFGEF2			8																										
ARFIP2															68														
ARFRP1		17												48					18										14
ARHGAP1														59															
ARHGAP11A																									38				
ARHGAP12														26						23									
ARHGAP23														16															
ARHGAP24									36						75														
ARHGAP25														40															
ARHGAP26																								22	118				
ARHGAP27														14															
ARHGAP28										17				27															
ARHGAP31															19														
ARHGAP35														28															
ARHGAP40														14															
ARHGAP5															24														
ARHGAP8														36															
ARHGDIA			48											138															
ARHGDIB																									30				
