	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
ANAPC7					7									21	23										14				
ANGEL1														25															
ANGEL2															17										94				
ANGPT1														5	6	12													
ANGPT2		18	18																						48				
ANGPT4														23	11														
ANGPTL1														8	5														
ANK1															152	104													
ANK2																													21
ANKEF1																									22				
ANKH									6						10										49				
ANKHD1-EIF4EBP3														1															
ANKLE1																									30				
ANKMY2																		10											
ANKRD12														6	3														
ANKRD13B														8															
ANKRD13C														15															
ANKRD17															34														
ANKRD18A																									5				10
ANKRD20A4																									10				
ANKRD23														19	18														
ANKRD26									64					10															
ANKRD28			27											33													42		
ANKRD29															12														
ANKRD33B			12																										
ANKRD34A			14																										
ANKRD37															10														
ANKRD40															15														
ANKRD45									19																				
ANKRD46															2														
ANKRD49														5															
ANKRD50														38	38														
ANKRD52														38	4														
ANKRD53																													6
ANKRD6											50														75				
ANKRD65																													
ANKRD7																													8
ANKRD9												34																	
ANKS1A														16															
ANKS1B								45																					
ANKS3														12															
ANKS4B														3											7				
ANKS6														9		6													
ANO1														14															
ANO2														7															
ANO6														30	9										15				
ANO7																									44				
ANO8														2															
ANP32A															29														
ANPEP														12															
ANTXR1															9														
ANTXR2															21														
ANXA10											11																		
ANXA13										40					8														
ANXA7															6														
AOAH																													20
AOC2														6															
AOC3														8															
AOX1																9												6	
AP1AR														32															
AP1S1														14															
AP1S3																									25				
AP2S1														4															
AP3D1														18	4														
AP3M1												20																	
AP3S2																									21				
AP4E1															22	12									18				
AP4S1																									21				
AP5B1														6											10				
AP5S1																									21				
AP5Z1														3															
APAF1																									60				
APBA1																6													
APBA2															14														
APBB1														70															
APBB2									7			35		42	63														
APC															54														
APC2															11														
APH1A														16															
API5																													92
APITD1-CORT										2					24														26
APLF									14							2													
APLN									11						15														
APLP1														40															
APLP2																													15
APMAP														20	12														
APOA1BP														7															
APOA5														56															
APOBEC1														6															
APOBEC3D														21															
APOBEC3F																			7										
APOBEC3G														6															
APOBEC3H																									87				
APOC2														17															
APOD														7															
APOF																									6				
APOL1															56										16				
APOL2																		4											
APOL4														18															
APOL6			7											7				7							17				
APOLD1																									62				
APOOL									4																				5
APOPT1														6											10				
APPBP2																10									24				
APPL1								6																					
APTX																													32
AQP2															9														
