	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
AKAP11														32.0															
AKAP12			10.0																						58.0				
AKAP13														38.0	28.0														
AKAP2															18.0			6.0											
AKAP5															6.0														
AKAP7														30.0															
AKAP8															9.0														
AKIRIN1																									68.0				
AKNA	3.0													3.0				10.0							3.0				
AKR1C2																									6.0				
AKT1														12.0										27.0					
AKT2														45.0	60.0										114.0				
AKT3																			15.0										
AKTIP														20.0										14.0					
ALAD														6.0															
ALB															6.0														
ALCAM																		9.0											
ALDH1A2			32.0																										
ALDH1A3														7.0	13.0														
ALDH1B1																									40.0				
ALDH1L2																									9.0				
ALDH3A2																				22.0					20.0				
ALDH3B2														16.0															
ALDH4A1									18.0																				
ALDH5A1									30.0									6.0							10.0				
ALDH7A1			39.0											21.0															
ALDOB														25.0	17.0														
ALG1																													5.0
ALG11		15.0								1.0				7.0															34.0
ALG12																													9.0
ALG8																													9.0
ALG9									80.0																				
ALKBH2		38.0																											
ALKBH4																									67.0				
ALKBH5														46.0															
ALOX15B																									22.0				
ALOXE3																			30.0										
ALPK1																									42.0				
ALPK3			10.0																										
ALPP															17.0										21.0				
ALS2														7.0	8.0														
ALS2CL																			6.0										
ALS2CR11																													18.0
ALS2CR8																			22.0										
ALX1															34.0														
ALX4			4.0											16.0															
AMACR																										24.0			9.0
AMD1														34.0															
AMER1														3.0															1.0
AMER2														10.0															
AMMECR1									9.0						72.0														
AMN1														5.0															6.0
AMOTL1															3.0														
AMOTL2														19.0	6.0														
AMPD3																		105.0											
AMT														15.0															
AMTN														6.0															
ANAPC7					7.0									21.0	23.0										14.0				
ANGEL1														25.0															
ANGEL2															17.0										94.0				
ANGPT1														5.0	6.0	12.0													
ANGPT2		18.0	18.0																						48.0				
ANGPT4														23.0	11.0														
ANGPTL1														8.0	5.0														
ANK1															152.0	104.0													
ANK2																													21.0
ANKEF1																									22.0				
ANKH									6.0						10.0										49.0				
ANKHD1-EIF4EBP3														1.0															
ANKLE1																									30.0				
ANKMY2																		10.0											
ANKRD12														6.0	3.0														
ANKRD13B														8.0															
ANKRD13C														15.0															
ANKRD17															34.0														
ANKRD18A																									5.0				10.0
ANKRD20A4																									10.0				
ANKRD23														19.0	18.0														
ANKRD26									64.0					10.0															
ANKRD28			27.0											33.0													42.0		
ANKRD29															12.0														
ANKRD33B			12.0																										
ANKRD34A			14.0																										
ANKRD37															10.0														
ANKRD40															15.0														
ANKRD45									19.0																				
ANKRD46															2.0														
ANKRD49														5.0															
ANKRD50														38.0	38.0														
ANKRD52														38.0	4.0														
ANKRD53																													6.0
ANKRD6											50.0														75.0				
ANKRD7																													8.0
ANKRD9												34.0																	
ANKS1A														16.0															
ANKS1B								45.0																					
ANKS3														12.0															
ANKS4B														3.0											7.0				
ANKS6														9.0		6.0													
ANO1														14.0															
ANO2														7.0															
ANO6														30.0	9.0										15.0				
ANO7																									44.0				
ANO8														2.0															
ANP32A															29.0														
ANPEP														12.0															
ANTXR1															9.0														
ANTXR2															21.0														
ANXA10											11.0																		
ANXA13										40.0					8.0														
ANXA7															6.0														
AOAH																													20.0
AOC2														6.0															
AOC3														8.0															
AOX1																9.0												6.0	
AP1AR														32.0															
AP1S1														14.0															
AP1S3																									25.0				
AP2S1														4.0															
AP3D1														18.0	4.0														
AP3M1												20.0																	
AP3S2																									21.0				
AP4E1															22.0	12.0									18.0				
AP4S1																									21.0				
AP5B1														6.0											10.0				
AP5S1																									21.0				
AP5Z1														3.0															
APAF1																									60.0				
APBA1																6.0													
APBA2															14.0														
APBB1														70.0															
APBB2									7.0			35.0		42.0	63.0														
