	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-1237		5	33	2			2	2	4	2			1	30	38	1		1	3					1	4		2		12
hsa-miR-1238			4	2	3			3		1		3		42	27	2		1	1	1					3	4	2		6
hsa-miR-124-3p		2	2	2				5	1					27	28	7		10	4					1	7				12
hsa-miR-124-5p		2	4					3	4	1	1			22	9	2		5	1	3				3	7				9
hsa-miR-1243			1	2				4	4	1			6	42	15			1	1			1		1	5		3		11
hsa-miR-1244	2		3					11	4	1				27	28		2	1	1						19				4
hsa-miR-1245a		1	3	5			2	6	3					33	46	2		4							18		1		8
hsa-miR-1245b-3p		1	4	1			1	8	2	2	3		2	42	24	1		3	1			1			2			1	12
hsa-miR-1245b-5p		4		1				12	5	3		2		22	18				4			2			3				3
hsa-miR-1246			9						3		4	2		24	25	1	3	1	1					2				1	11
hsa-miR-1247-3p			1							7				9	14			3							10				3
hsa-miR-1247-5p									1			3		10	6										19				7
hsa-miR-1248		1	32	1				9	3	1	3		1	24	35	3			2					3	2		2		6
hsa-miR-1249		2							1					22	16										2				5
hsa-miR-1250		1	3					4	4	1				18	14			2		2					3				7
hsa-miR-1251	6		1	1				2	4	1				30	14	10		1							1				4
hsa-miR-1252		1	5	3		4		3	12	3	2	3		53	35			1	7		1		1	6	7	4			12
hsa-miR-1253			11	2	1				2	1	2	9		82	23	6		3	7			2			8		3		18
hsa-miR-1254		1		1				1	7			1		37	19	3		2	3						97				6
hsa-miR-1255a			5	2					5					28	21	3							8		4			3	8
hsa-miR-1255b-2-3p			3		1			4		1		1		19	33			11	1						10			1	15
hsa-miR-1255b-5p			7	5					2					21	15	1							2		2			1	4
hsa-miR-1256		1	5					10	1				2	29	52	3				3					58				16
hsa-miR-1257			6				2	13	3	2		1	1	31	33	3		5	1						9		1		31
hsa-miR-1258			1					11	3				2	27	13	1			5	1							8		2
hsa-miR-125a-3p		2	7	3				2	4	13				37	26		3		2		3			2	65	2			19
hsa-miR-125a-5p		2			6			2	9			1		36	31	1			3					1	18				3
hsa-miR-125b-1-3p		1							3					17	15	3			1					1	4			1	4
hsa-miR-125b-2-3p	1		3	1			3	9	7			2		42	61	3		2						3	7	1			6
hsa-miR-125b-5p		2			6			2	9			1		36	31	1			3					1	18				3
hsa-miR-126-3p			2							1				4	7														8
hsa-miR-126-5p		1	3	1				12	18	1		2		35	61			10	7			2			2	4	1		33
