	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-1238			1	1				2	6	2		3	1	27	38	6			20					1	10		1		30
hsa-miR-124-3p			4					7	3			1	2	38	22	4			1				1	1	20	4	4	1	9
hsa-miR-124-5p			1					1	1					24	20						1				9				10
hsa-miR-1243			4						2			4		27	22	6			2					1	35				7
hsa-miR-1244		2	1		18		1	11		4				7	21	4		2							25		4		3
hsa-miR-1245a			4	1	18	2	1	1	2			1	1	51	27	3				2			1		23		2		10
hsa-miR-1245b-3p			5	6				11	2	1		3		38	53	4								1	27		1		11
hsa-miR-1245b-5p			5	1					3	2			1	45	25				1			2		1	16				15
hsa-miR-1246	1	1						6	4	4		1		25	45	2	2		7		1	1	1		9				1
hsa-miR-1247-3p			13					4	2			7		28	11	5		1	4					6	38		1		7
hsa-miR-1247-5p			1						3			5		11	7										18				11
hsa-miR-1248		4	1				2	8	1			1		46	30			3	4						6				29
hsa-miR-1249			2	1					6					22	13			4	1				4		23		7	2	12
hsa-miR-1250								1	1	1		1		18	13	4			4		1				16				17
hsa-miR-1251			3						6					24	50	1		3							27				4
hsa-miR-1252		1	4		18		1	7	3	1	4	3		60	46	4			7			2			7		1		12
hsa-miR-1253		2	6	1	18			2	8	2			9	38	68			1	4	4				1	23				30
hsa-miR-1254		3	1		2	1	1	3	5	1			2	50	33	3		5	5					2	79				21
hsa-miR-1255a			1	2				12	1		1			31	18			3	4	1	1	1			52				10
hsa-miR-1255b-2-3p			2	2				1	3				7	27	31	2			1					1	28				5
hsa-miR-1255b-5p				2				12	1		1			29	12			3	4		1	1			36				10
hsa-miR-1256				1		1		5	4	2		2	9	15	23	1		5							51				18
hsa-miR-1257		2	5	2	6				12			1		44	18			2	1	2	1			1	15		2		10
hsa-miR-1258			2				1		6					13	27	3							1		22				2
hsa-miR-125a-3p		1	5	1	1		2	4	12	5				37	36	3		2	6					10	31	3			4
hsa-miR-125a-5p	4	3	8			2		1	8	4				53	37	11		3	2	1			2		30				15
hsa-miR-125b-1-3p		1	1	1				1	3	3		1	1	20	21				1				1	3	32		4		12
hsa-miR-125b-2-3p	1	2	10	1				12	3	3	1			24	30	10		1	1		1		2	2	18	4			1
hsa-miR-125b-5p	4	3	8			2		1	8	4				53	37	11		3	2	1			2		30				15
hsa-miR-126-3p		1							4	3			1	2	2									1	5				7
hsa-miR-126-5p			1	14				5	17	1	10	2		66	109	2		5		2				1	19			1	8
